MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:17:36 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006191,1514449041.534,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449041.565,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449041.602,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449041.652,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449041.705,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449041.753,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449041.804,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449041.849,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449041.904,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449041.944,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449042.003,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449042.051,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449042.105,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449042.147,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449042.206,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449042.248,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449042.307,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449042.337,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449042.380,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449042.433,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449042.493,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449042.533,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449042.586,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449042.634,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449042.687,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449042.715,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449042.751,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449042.852,0,-25,0,2,21.00,3
0x000000000000000000006191,1514449042.891,0,-25,0,2,21.00,3
0x000000000000000000006191,1514449042.948,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449042.993,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449043.049,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449043.076,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449043.116,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449043.161,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449043.213,0,-25,0,2,21.00,3
0x000000000000000000006191,1514449043.257,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449043.312,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449043.350,0,-25,0,2,21.00,4
0x000000000000000000006191,1514449043.405,0,-23,0,2,21.00,1
0x000000000000000000006191,1514449043.499,0,-25,0,2,21.00,1
0x000000000000000000006191,1514449043.524,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449043.573,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449043.628,0,-27,0,2,21.00,3
0x000000000000000000006191,1514449043.671,0,-25,0,2,21.00,3
0x000000000000000000006191,1514449043.728,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449043.767,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449043.826,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449043.853,0,-23,0,2,21.00,1
0x000000000000000000006191,1514449043.909,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449043.957,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449044.011,0,-25,0,2,21.00,3
0x000000000000000000006191,1514449044.049,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449044.106,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449044.148,0,-25,0,2,21.00,4
0x000000000000000000006191,1514449044.204,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449044.230,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449044.297,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449044.314,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449044.361,0,-26,0,2,21.00,3
0x000000000000000000006191,1514449044.400,0,-27,0,2,21.00,3
0x000000000000000000006191,1514449044.454,0,-25,0,2,21.00,4
0x000000000000000000006191,1514449044.493,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449044.550,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449044.579,0,-23,0,2,21.00,1
0x000000000000000000006191,1514449044.614,0,-24,0,2,21.00,2
0x000000000000000000006191,1514449044.659,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449044.714,0,-25,0,2,21.00,3
0x000000000000000000006191,1514449044.758,0,-25,0,2,21.00,3
0x000000000000000000006191,1514449044.810,0,-25,0,2,21.00,4
0x000000000000000000006191,1514449044.851,0,-24,0,2,21.00,4
0x000000000000000000006191,1514449044.912,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449044.947,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449044.983,0,-23,0,2,21.00,2
0x000000000000000000006191,1514449045.031,0,-22,0,2,21.00,2
0x000000000000000000006191,1514449045.085,0,-27,0,2,21.00,3
0x000000000000000000006191,1514449045.128,0,-25,0,2,21.00,3
0x000000000000000000006191,1514449045.181,0,-26,0,2,21.00,4
0x000000000000000000006191,1514449045.225,0,-25,0,2,21.00,4
0x000000000000000000006191,1514449045.282,0,-23,0,2,21.00,1
0x000000000000000000006191,1514449045.313,0,-24,0,2,21.00,1
0x000000000000000000006191,1514449045.368,0,-23,0,3,21.00,2
0x000000000000000000006191,1514449045.424,0,-24,0,3,21.00,2
0x000000000000000000006191,1514449045.478,0,-25,0,3,21.00,3
0x000000000000000000006191,1514449045.517,0,-26,0,3,21.00,3
0x000000000000000000006191,1514449045.573,0,-24,0,3,21.00,4
0x000000000000000000006191,1514449045.612,0,-24,0,3,21.00,4
0x000000000000000000006191,1514449045.675,0,-24,0,3,21.00,1
0x000000000000000000006191,1514449045.699,0,-24,0,3,21.00,1
0x000000000000000000006191,1514449045.735,0,-23,0,3,21.00,2
0x000000000000000000006191,1514449045.786,0,-24,0,3,21.00,2
0x000000000000000000006191,1514449045.841,0,-26,0,3,21.00,3
0x000000000000000000006191,1514449045.892,0,-26,0,3,21.00,3
0x000000000000000000006191,1514449045.944,0,-24,0,3,21.00,4
0x000000000000000000006191,1514449045.985,0,-24,0,3,21.00,4
0x000000000000000000006191,1514449046.038,0,-24,0,3,21.00,1
0x000000000000000000006191,1514449046.069,0,-24,0,3,21.00,1
0x000000000000000000006191,1514449046.103,0,-24,0,3,21.00,2
