MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 4:45:38 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001107,1514447124.249,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447124.520,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447124.694,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447124.729,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447124.917,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447124.981,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447125.166,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447125.340,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447125.396,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447125.550,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447125.591,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447125.885,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447126.117,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447126.312,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447126.363,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447126.550,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447126.737,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447126.790,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447127.172,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447127.208,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447127.445,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447127.670,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447127.709,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447127.897,0,-31,0,3,21.00,3
0x000000000000000000001107,1514447128.182,0,-31,0,4,21.00,3
0x000000000000000000001107,1514447128.522,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447128.738,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447128.956,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447129.175,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447129.378,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447129.573,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447129.606,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447130.455,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447130.689,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447130.738,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447130.934,0,-31,0,4,21.00,3
0x000000000000000000001107,1514447131.136,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447131.180,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447131.329,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447131.379,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447131.612,0,-32,0,4,21.00,3
0x000000000000000000001107,1514447131.663,0,-31,0,4,21.00,3
0x000000000000000000001107,1514447132.037,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447132.230,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447132.284,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447132.483,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447132.679,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447132.715,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447132.875,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447132.934,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447133.113,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447133.549,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447133.593,0,-32,0,1,21.00,3
0x000000000000000000001107,1514447133.895,0,-31,0,1,21.00,3
0x000000000000000000001108,1514447124.260,0,-31,0,3,21.00,3
0x000000000000000000001108,1514447124.318,0,-31,0,3,21.00,3
0x000000000000000000001108,1514447124.385,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447124.489,0,-32,0,3,21.00,3
0x000000000000000000001108,1514447124.583,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447124.626,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447124.681,0,-32,0,3,21.00,3
0x000000000000000000001108,1514447124.740,0,-32,0,3,21.00,3
0x000000000000000000001108,1514447124.804,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447124.971,0,-31,0,3,21.00,3
0x000000000000000000001108,1514447125.009,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447125.077,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447125.176,0,-31,0,3,21.00,3
0x000000000000000000001108,1514447125.359,0,-32,0,3,21.00,3
0x000000000000000000001108,1514447125.384,0,-32,0,3,21.00,3
0x000000000000000000001108,1514447125.447,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447125.493,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447125.565,0,-32,0,3,21.00,3
0x000000000000000000001108,1514447125.616,0,-32,0,3,21.00,3
0x000000000000000000001108,1514447125.703,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447125.909,0,-31,0,3,21.00,3
0x000000000000000000001108,1514447126.096,0,-31,0,3,21.00,3
0x000000000000000000001108,1514447126.137,0,-31,0,3,21.00,3
0x000000000000000000001108,1514447126.212,0,-32,0,3,21.00,4
0x000000000000000000001108,1514447126.322,0,-32,0,3,21.00,3
