MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:05:22 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001108,1514448306.225,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448306.290,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448306.353,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448306.476,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448306.548,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448306.591,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448306.689,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448306.766,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448306.817,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448306.877,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448306.938,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448306.979,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448307.036,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448307.091,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448307.134,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448307.238,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448307.349,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448307.403,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448307.565,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448307.612,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448307.675,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448307.795,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448307.874,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448307.906,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448307.980,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448308.039,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448308.088,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448308.145,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448308.246,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448308.283,0,-32,0,3,21.00,4
