MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:05:59 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001108,1514448345.347,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448345.382,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448345.465,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448345.573,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448345.616,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448345.660,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448345.729,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448345.929,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448345.987,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448346.047,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448346.130,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448346.176,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448346.219,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448346.290,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448346.358,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448346.391,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448346.464,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448346.546,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448346.631,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448346.750,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448346.789,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448346.959,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.021,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.186,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.234,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.400,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.459,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.632,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.676,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.738,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448347.850,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.887,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448347.962,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448348.069,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448348.108,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448348.171,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448348.203,0,-30,0,3,21.00,4
0x000000000000000000001108,1514448348.298,0,-32,0,3,21.00,3
