MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:08:43 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006191,1514448508.965,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448509.012,0,-21,0,3,21.00,2
0x000000000000000000006191,1514448509.048,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448509.094,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448509.140,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448509.196,0,-23,0,3,21.00,4
0x000000000000000000006191,1514448509.245,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448509.305,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448509.334,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448509.365,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448509.404,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448509.452,0,-26,0,3,21.00,3
0x000000000000000000006191,1514448509.528,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448509.582,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448509.634,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448509.657,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448509.694,0,-21,0,3,21.00,2
0x000000000000000000006191,1514448509.732,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448509.780,0,-26,0,3,21.00,3
0x000000000000000000006191,1514448509.817,0,-27,0,3,21.00,3
0x000000000000000000006191,1514448509.870,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448509.917,0,-23,0,3,21.00,4
0x000000000000000000006191,1514448509.967,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448509.997,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448510.032,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448510.068,0,-21,0,3,21.00,2
0x000000000000000000006191,1514448510.112,0,-26,0,3,21.00,3
0x000000000000000000006191,1514448510.158,0,-26,0,3,21.00,3
0x000000000000000000006191,1514448510.212,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448510.258,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448510.316,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448510.342,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448510.374,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448510.415,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448510.486,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448510.534,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448510.569,0,-23,0,3,21.00,4
0x000000000000000000006191,1514448510.613,0,-23,0,3,21.00,4
0x000000000000000000006191,1514448510.666,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448510.692,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448510.726,0,-21,0,3,21.00,2
0x000000000000000000006191,1514448510.761,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448510.808,0,-26,0,3,21.00,3
0x000000000000000000006191,1514448510.849,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448510.905,0,-23,0,3,21.00,4
0x000000000000000000006191,1514448510.951,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448511.060,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448511.098,0,-21,0,3,21.00,2
0x000000000000000000006191,1514448511.156,0,-28,0,3,21.00,3
0x000000000000000000006191,1514448511.189,0,-26,0,3,21.00,3
