MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:15:15 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006191,1514448901.753,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448901.774,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448901.809,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448901.866,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448901.909,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448901.964,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448902.006,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448902.035,0,-21,0,3,21.00,2
0x000000000000000000006191,1514448902.066,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448902.108,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448902.150,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448902.199,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448902.239,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448902.287,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448902.326,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448902.477,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448902.522,0,-21,0,3,21.00,4
0x000000000000000000006191,1514448902.570,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448902.600,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448902.643,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448902.753,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448902.798,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448902.854,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448902.909,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448902.938,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448902.987,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448903.141,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448903.182,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448903.248,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448903.288,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448903.355,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448903.525,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448903.580,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448903.638,0,-24,0,3,21.00,1
0x000000000000000000006191,1514448903.675,0,-26,0,3,21.00,1
0x000000000000000000006191,1514448903.721,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448903.770,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448903.918,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448903.961,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448904.017,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448904.061,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448904.123,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448904.168,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448904.319,0,-21,0,3,21.00,4
0x000000000000000000006191,1514448904.367,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448904.425,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448904.467,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448904.524,0,-23,0,3,21.00,2
0x000000000000000000006191,1514448904.575,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448904.735,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448904.777,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448904.839,0,-25,0,3,21.00,1
0x000000000000000000006191,1514448904.907,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448904.957,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448905.002,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448905.154,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448905.196,0,-22,0,3,21.00,4
0x000000000000000000006191,1514448905.256,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448905.318,0,-27,0,3,21.00,1
0x000000000000000000006191,1514448905.348,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448905.392,0,-22,0,3,21.00,2
0x000000000000000000006191,1514448905.575,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448905.619,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448905.677,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448905.741,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448905.791,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448905.810,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448905.950,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448905.999,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448906.081,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448906.116,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448906.147,0,-21,0,4,21.00,2
0x000000000000000000006191,1514448906.186,0,-22,0,4,21.00,2
0x000000000000000000006191,1514448906.334,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448906.381,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448906.431,0,-25,0,4,21.00,1
0x000000000000000000006191,1514448906.456,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448906.508,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448906.565,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448906.700,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448906.745,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448906.820,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448906.839,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448906.884,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448906.924,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448907.079,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448907.129,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448907.178,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448907.221,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448907.270,0,-22,0,4,21.00,2
0x000000000000000000006191,1514448907.315,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448907.468,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448907.514,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448907.563,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448907.600,0,-25,0,4,21.00,1
0x000000000000000000006191,1514448907.695,0,-22,0,4,21.00,2
0x000000000000000000006191,1514448907.847,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448907.894,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448907.973,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448907.991,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448908.036,0,-24,0,4,21.00,2
0x000000000000000000006191,1514448908.077,0,-22,0,4,21.00,2
0x000000000000000000006191,1514448908.142,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448908.181,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448908.239,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448908.305,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448908.378,0,-24,0,4,21.00,2
0x000000000000000000006191,1514448908.539,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448908.585,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448908.639,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448908.679,0,-26,0,4,21.00,1
0x000000000000000000006191,1514448908.764,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448908.922,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448908.961,0,-22,0,4,21.00,4
0x000000000000000000006191,1514448909.030,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448909.088,0,-27,0,4,21.00,1
0x000000000000000000006191,1514448909.117,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448909.145,0,-23,0,4,21.00,2
0x000000000000000000006191,1514448909.307,0,-22,0,1,21.00,4
0x000000000000000000006191,1514448909.348,0,-21,0,1,21.00,4
0x000000000000000000006191,1514448909.417,0,-27,0,1,21.00,1
0x000000000000000000006191,1514448909.485,0,-27,0,1,21.00,1
0x000000000000000000006191,1514448909.536,0,-23,0,1,21.00,2
0x000000000000000000006191,1514448909.572,0,-24,0,1,21.00,2
0x000000000000000000006191,1514448909.725,0,-22,0,1,21.00,4
0x000000000000000000006191,1514448909.769,0,-21,0,1,21.00,4
0x000000000000000000006191,1514448909.849,0,-27,0,1,21.00,1
0x000000000000000000006191,1514448909.995,0,-27,0,1,21.00,1
0x000000000000000000006191,1514448910.015,0,-22,0,1,21.00,2
0x000000000000000000006191,1514448910.065,0,-22,0,1,21.00,2
0x000000000000000000006191,1514448910.223,0,-21,0,1,21.00,4
0x000000000000000000006191,1514448910.263,0,-21,0,1,21.00,4
