MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 4:38:21 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001116,1514446681.274,0,-28,0,3,21.00,4
0x000000000000000000001116,1514446681.312,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446681.543,0,-28,0,3,21.00,4
0x000000000000000000001116,1514446681.600,0,-28,0,3,21.00,4
0x000000000000000000001116,1514446681.840,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446681.884,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446681.989,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446682.034,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446682.205,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446682.576,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446682.660,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446682.904,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446683.322,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446683.519,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446683.580,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446683.724,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446683.786,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446683.998,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446684.059,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446684.299,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446684.347,0,-28,0,3,21.00,4
0x000000000000000000001116,1514446684.595,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446684.669,0,-30,0,3,21.00,4
0x000000000000000000001116,1514446684.795,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446685.024,0,-29,0,3,21.00,4
0x000000000000000000001116,1514446685.115,0,-28,0,4,21.00,4
0x000000000000000000001116,1514446685.159,0,-29,0,4,21.00,4
0x000000000000000000001116,1514446685.283,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446685.315,0,-28,0,4,21.00,4
0x000000000000000000001116,1514446685.926,0,-28,0,4,21.00,4
0x000000000000000000001116,1514446685.977,0,-29,0,4,21.00,4
0x000000000000000000001116,1514446686.085,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446686.126,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446686.317,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446686.389,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446686.593,0,-29,0,4,21.00,4
0x000000000000000000001116,1514446686.763,0,-33,0,4,21.00,3
0x000000000000000000001116,1514446686.855,0,-29,0,4,21.00,4
0x000000000000000000001116,1514446686.928,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446687.018,0,-33,0,4,21.00,3
0x000000000000000000001116,1514446687.046,0,-33,0,4,21.00,3
0x000000000000000000001116,1514446687.127,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446687.304,0,-33,0,4,21.00,3
0x000000000000000000001116,1514446687.356,0,-33,0,4,21.00,3
0x000000000000000000001116,1514446687.442,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446687.834,0,-29,0,4,21.00,4
0x000000000000000000001116,1514446687.891,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446688.043,0,-29,0,4,21.00,4
0x000000000000000000001116,1514446688.102,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446688.254,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446688.270,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446688.656,0,-33,0,4,21.00,3
0x000000000000000000001116,1514446688.704,0,-33,0,4,21.00,3
0x000000000000000000001116,1514446688.727,0,-28,0,4,21.00,4
0x000000000000000000001116,1514446688.808,0,-30,0,4,21.00,4
0x000000000000000000001116,1514446689.056,0,-30,0,1,21.00,4
0x000000000000000000001116,1514446689.265,0,-29,0,1,21.00,4
0x000000000000000000001116,1514446689.510,0,-29,0,1,21.00,4
0x000000000000000000001116,1514446689.590,0,-30,0,1,21.00,4
0x000000000000000000001116,1514446689.769,0,-29,0,1,21.00,4
0x000000000000000000001116,1514446689.849,0,-29,0,1,21.00,4
0x000000000000000000001116,1514446689.892,0,-29,0,1,21.00,4
0x000000000000000000001116,1514446690.452,0,-30,0,1,21.00,4
0x000000000000000000001116,1514446690.544,0,-30,0,1,21.00,4
0x000000000000000000001116,1514446690.571,0,-29,0,1,21.00,4
0x000000000000000000001106,1514446681.287,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446681.335,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446681.593,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446682.329,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446682.884,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446682.928,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446683.019,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446683.077,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446683.371,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446683.595,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446684.051,0,-33,0,3,21.00,4
0x000000000000000000001106,1514446685.127,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446685.353,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446685.538,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446685.940,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446686.021,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446686.140,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446686.619,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446687.417,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446687.723,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446687.784,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446688.084,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446688.264,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446688.459,0,-32,0,4,21.00,4
0x000000000000000000001106,1514446688.498,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446681.297,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446681.350,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446681.640,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446681.905,0,-33,0,3,21.00,4
0x000000000000000000000001,1514446682.195,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446682.225,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446682.319,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446682.377,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446682.918,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446683.312,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446683.347,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446683.560,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446684.037,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446684.096,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446684.857,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446684.993,0,-32,0,3,21.00,4
0x000000000000000000000001,1514446685.071,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446685.175,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446685.308,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446685.481,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446685.550,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446685.691,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446685.732,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446685.970,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446686.075,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446686.115,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446686.332,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446686.406,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446686.608,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446687.112,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446687.160,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446687.399,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446687.793,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446688.313,0,-33,0,4,21.00,4
0x000000000000000000000001,1514446688.514,0,-32,0,4,21.00,4
0x000000000000000000000001,1514446688.762,0,-33,0,4,21.00,4
0x000000000000000000000001,1514446688.875,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446689.247,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446689.291,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446689.535,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446689.807,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446689.931,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446690.429,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446690.475,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446690.554,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446690.584,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446690.729,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446690.775,0,-33,0,1,21.00,4
0x000000000000000000000001,1514446690.998,0,-33,0,1,21.00,4
0x000000000000000000001134,1514446681.306,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446681.580,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446681.616,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446681.866,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446681.918,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446681.999,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446682.056,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446682.251,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446682.356,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446682.592,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446682.645,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446682.895,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446683.031,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446683.297,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446683.356,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446683.533,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446683.604,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446683.800,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446684.087,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446684.328,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446684.385,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446684.847,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446685.007,0,-31,0,3,21.00,4
0x000000000000000000001134,1514446685.051,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446685.136,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446685.185,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446685.259,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446685.328,0,-32,0,4,21.00,4
0x000000000000000000001134,1514446685.500,0,-32,0,4,21.00,4
0x000000000000000000001134,1514446685.714,0,-32,0,4,21.00,4
0x000000000000000000001134,1514446685.951,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446685.999,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446686.358,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446686.583,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446686.872,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446686.941,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446687.735,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446687.768,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446687.849,0,-31,0,4,21.00,4
0x000000000000000000001134,1514446687.917,0,-31,0,4,21.00,4
