MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:10:31 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001108,1514448616.906,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448616.955,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448617.010,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448617.062,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448617.217,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448617.260,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448617.321,0,-33,0,3,21.00,1
0x000000000000000000001108,1514448617.355,0,-34,0,3,21.00,1
0x000000000000000000001108,1514448617.533,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448617.693,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448617.743,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448617.776,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448617.827,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448617.938,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448618.110,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448618.156,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448618.204,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448618.250,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448618.405,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448618.467,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448618.499,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448618.577,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448618.666,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448618.721,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448618.763,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448618.913,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448619.084,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448619.124,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448619.182,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448619.215,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448619.283,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448619.329,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448619.393,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448619.444,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448619.587,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448619.629,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448619.793,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448619.859,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448619.953,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448620.023,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448620.056,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448620.124,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448620.154,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448620.240,0,-32,0,3,21.00,4
