MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:11:05 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001103,1514448651.370,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448651.424,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448651.794,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448651.840,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448652.092,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448652.131,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448652.306,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448652.601,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448652.633,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448652.724,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448652.761,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448653.154,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448653.340,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448653.403,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448653.470,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448653.539,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448654.001,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448654.059,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448654.302,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448654.358,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448654.624,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448654.723,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448654.935,0,-32,0,3,21.00,4
0x000000000000000000001103,1514448655.227,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448655.424,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448655.695,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448655.859,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448656.106,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448656.285,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448656.502,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448656.890,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448657.029,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448657.184,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448657.361,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448657.415,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448657.526,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448657.618,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448657.886,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448658.322,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448658.372,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448658.530,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448658.816,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448658.844,0,-32,0,4,21.00,4
0x000000000000000000001103,1514448659.039,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448659.081,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448659.227,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448659.479,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448659.650,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448659.727,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448659.936,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448660.121,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448660.608,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448660.801,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448660.912,0,-32,0,1,21.00,4
0x000000000000000000001103,1514448660.952,0,-32,0,1,21.00,4
0x000000000000000000001105,1514448651.386,0,-32,0,3,21.00,4
0x000000000000000000001105,1514448651.434,0,-32,0,3,21.00,4
0x000000000000000000001105,1514448651.538,0,-34,0,3,21.00,3
0x000000000000000000001105,1514448651.606,0,-34,0,3,21.00,3
0x000000000000000000001105,1514448651.653,0,-32,0,3,21.00,4
