MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:13:02 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x110010349835865102614942,1517364768.403,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364768.469,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364768.713,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364768.922,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364769.216,0,-34,0,1,21.00,3
0x110010349835865102614942,1517364769.268,0,-34,0,1,21.00,3
0x110010349835865102614942,1517364769.851,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364770.070,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364770.133,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364770.350,0,-34,0,1,21.00,3
0x110010349835865102614942,1517364770.587,0,-34,0,1,21.00,3
0x110010349835865102614942,1517364770.821,0,-34,0,1,21.00,3
0x110010349835865102614942,1517364771.009,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364771.784,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364771.835,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364772.875,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364773.345,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364773.566,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364773.626,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364773.846,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364774.066,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364774.531,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364774.736,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364774.945,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364774.986,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364775.161,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364775.212,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364775.421,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364775.690,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364775.877,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364776.131,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364776.328,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364776.384,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364776.601,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364776.806,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364776.989,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364777.068,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364777.308,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364777.478,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364777.740,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364777.782,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364777.972,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364778.050,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364778.249,0,-33,0,1,21.00,3
0x107010349013305354381891,1517364768.415,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364768.459,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364768.890,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364769.227,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364769.490,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364769.671,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364769.830,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364769.897,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364770.811,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364771.330,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364772.425,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364772.640,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364772.668,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364773.092,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364773.365,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364773.551,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364773.615,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364773.805,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364774.026,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364774.249,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364774.710,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364774.758,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364774.936,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364774.996,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364775.170,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364775.908,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364776.122,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364776.374,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364776.557,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364776.774,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364777.015,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364777.229,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364777.289,0,-34,0,1,21.00,3
0x107010349013305354381891,1517364777.992,0,-34,0,1,21.00,3
0x107010249722621700351874,1517364768.424,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364768.655,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364768.690,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364768.880,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364768.910,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364769.237,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364769.420,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364769.481,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364769.638,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364769.691,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364769.885,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364770.081,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364770.277,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364770.319,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364770.541,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364770.758,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364771.030,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364771.307,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364771.367,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364771.561,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364771.773,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364771.818,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364772.016,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364772.065,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364772.650,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364772.858,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364772.922,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364773.147,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364773.602,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364773.790,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364773.835,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364774.005,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364774.047,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364774.229,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364774.280,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364774.490,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364774.780,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364775.476,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364775.671,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364775.858,0,-31,0,1,21.00,3
0x107010249722621700351874,1517364775.922,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364776.591,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364776.764,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364776.818,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364777.002,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364777.034,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364777.252,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364777.447,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364777.497,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364777.799,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364778.013,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364778.190,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364778.237,0,-32,0,1,21.00,3
0x000000000000000000004005,1517364768.446,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364768.640,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364768.702,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364768.864,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364768.933,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364769.257,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364769.433,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364769.681,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364770.056,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364770.122,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364770.287,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364770.336,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364770.528,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364770.578,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364770.770,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364770.830,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364771.073,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364771.260,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364771.317,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364771.354,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364771.542,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364771.596,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364771.800,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364772.026,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364772.304,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364772.364,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364772.402,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364772.455,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364772.843,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364772.909,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364773.083,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364773.122,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364773.332,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364773.392,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364773.823,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364773.986,0,-28,0,1,21.00,3
0x000000000000000000004005,1517364774.057,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364774.219,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364774.293,0,-29,0,1,21.00,3
