MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 10:59:44 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006011,1517363968.647,0,-23,0,1,21.00,1
0x000000000000000000006011,1517363968.671,0,-23,0,1,21.00,1
0x000000000000000000006011,1517363968.714,0,-23,0,1,21.00,2
0x000000000000000000006011,1517363968.757,0,-23,0,1,21.00,2
0x000000000000000000006011,1517363968.821,0,-28,0,1,21.00,3
0x000000000000000000006011,1517363968.865,0,-26,0,1,21.00,3
0x000000000000000000006011,1517363968.990,0,-23,0,1,21.00,1
0x000000000000000000006011,1517363969.019,0,-23,0,1,21.00,1
0x000000000000000000006011,1517363969.054,0,-24,0,1,21.00,2
0x000000000000000000006011,1517363969.103,0,-24,0,1,21.00,2
0x000000000000000000006011,1517363969.160,0,-27,0,1,21.00,3
0x000000000000000000006011,1517363969.250,0,-28,0,1,21.00,3
0x000000000000000000006011,1517363969.386,0,-24,0,1,21.00,1
0x000000000000000000006011,1517363969.421,0,-23,0,1,21.00,2
0x000000000000000000006011,1517363969.467,0,-23,0,1,21.00,2
0x000000000000000000006011,1517363969.521,0,-28,0,1,21.00,3
0x000000000000000000006011,1517363969.565,0,-28,0,1,21.00,3
0x000000000000000000006011,1517363969.716,0,-24,0,1,21.00,1
0x000000000000000000006011,1517363969.746,0,-24,0,1,21.00,1
0x000000000000000000006011,1517363969.784,0,-23,0,1,21.00,2
0x000000000000000000006011,1517363969.828,0,-23,0,1,21.00,2
0x000000000000000000006011,1517363969.885,0,-27,0,1,21.00,3
0x000000000000000000006011,1517363969.946,0,-28,0,1,21.00,3
0x000000000000000000006011,1517363970.100,0,-23,0,1,21.00,1
0x000000000000000000006011,1517363970.128,0,-23,0,1,21.00,1
0x000000000000000000006011,1517363970.165,0,-24,0,1,21.00,2
0x000000000000000000006011,1517363970.210,0,-24,0,1,21.00,2
0x000000000000000000006011,1517363970.274,0,-28,0,1,21.00,3
0x000000000000000000006011,1517363970.329,0,-27,0,1,21.00,3
0x000000000000000000006011,1517363970.508,0,-23,0,1,21.00,1
0x000000000000000000006011,1517363970.534,0,-24,0,1,21.00,1
0x000000000000000000006011,1517363970.570,0,-24,0,1,21.00,2
