MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:00:34 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006011,1517364021.967,0,-22,0,1,21.00,1
0x000000000000000000006011,1517364022.006,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364022.053,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364022.082,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364022.114,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364022.145,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364022.189,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364022.241,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364022.297,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364022.333,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364022.379,0,-20,0,1,21.00,2
0x000000000000000000006011,1517364022.419,0,-20,0,1,21.00,2
0x000000000000000000006011,1517364022.466,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364022.510,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364022.560,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364022.605,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364022.670,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364022.704,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364022.753,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364022.790,0,-20,0,1,21.00,2
0x000000000000000000006011,1517364022.838,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364022.884,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364022.942,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364022.986,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364023.042,0,-22,0,1,21.00,1
0x000000000000000000006011,1517364023.084,0,-22,0,1,21.00,1
0x000000000000000000006011,1517364023.128,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364023.153,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364023.204,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364023.242,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364023.290,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364023.336,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364023.396,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364023.430,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364023.478,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364023.515,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364023.567,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364023.618,0,-25,0,1,21.00,3
