MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 10:57:53 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006011,1517363856.912,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363856.946,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363856.966,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363857.103,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363857.153,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363857.206,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363857.234,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363857.277,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363857.310,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363857.465,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363857.519,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363857.584,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363857.609,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363857.646,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363857.670,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363857.818,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363857.875,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363857.916,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363857.939,0,-22,0,1,21.00,1
0x000000000000000000006011,1517363857.980,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363858.057,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363858.303,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363858.352,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363858.406,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363858.442,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363858.479,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363858.547,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363858.694,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363858.753,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363858.802,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363858.825,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363858.865,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363858.948,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363859.153,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363859.213,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363859.268,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363859.294,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363859.330,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363859.413,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363859.573,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363859.623,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363859.687,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363859.718,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363859.750,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363859.818,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363859.966,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363860.012,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363860.066,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363860.098,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363860.131,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363860.193,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363860.335,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363860.382,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363860.442,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363860.466,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363860.505,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363860.547,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363860.796,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363860.838,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363860.898,0,-22,0,1,21.00,1
0x000000000000000000006011,1517363860.925,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363860.963,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363861.049,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363861.170,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363861.232,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363861.301,0,-22,0,1,21.00,1
0x000000000000000000006011,1517363861.328,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363861.360,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363861.423,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363861.619,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363861.667,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363861.716,0,-22,0,1,21.00,1
0x000000000000000000006011,1517363861.747,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363861.786,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363861.822,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363861.954,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363861.997,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363862.063,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363862.093,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363862.129,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363862.189,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363862.329,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363862.385,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363862.444,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363862.469,0,-22,0,1,21.00,1
0x000000000000000000006011,1517363862.510,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363862.527,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363862.714,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363862.757,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363862.816,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363862.840,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363862.881,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363862.921,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363863.095,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363863.161,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363863.216,0,-22,0,1,21.00,1
0x000000000000000000006011,1517363863.242,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363863.277,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363863.318,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363863.560,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363863.643,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363863.689,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363863.717,0,-22,0,1,21.00,1
0x000000000000000000006011,1517363863.750,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363863.795,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363863.948,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363864.006,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363864.055,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363864.080,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363864.120,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363864.161,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363864.303,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363864.343,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363864.400,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363864.426,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363864.467,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363864.595,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363864.752,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363864.803,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363864.862,0,-22,0,1,21.00,1
0x000000000000000000006011,1517363864.888,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363864.924,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363864.966,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363865.142,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363865.207,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363865.266,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363865.288,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363865.327,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363865.385,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363865.602,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363865.648,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363865.706,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363865.733,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363865.773,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363865.791,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363865.949,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363866.001,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363866.069,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363866.093,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363866.130,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363866.195,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363866.354,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363866.411,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363866.482,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363866.507,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363866.544,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363866.654,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363866.826,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363866.898,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363866.963,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363866.990,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363867.029,0,-18,0,1,21.00,2
0x000000000000000000006011,1517363867.097,0,-19,0,1,21.00,2
0x000000000000000000006011,1517363867.275,0,-18,0,1,21.00,4
0x000000000000000000006011,1517363867.323,0,-17,0,1,21.00,4
0x000000000000000000006011,1517363867.358,0,-21,0,1,21.00,1
0x000000000000000000006011,1517363867.388,0,-21,0,1,21.00,1
0x000000000000000000004005,1517363856.984,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363857.086,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363857.333,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363857.398,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363857.664,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363857.750,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363857.797,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363857.993,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363858.081,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363858.223,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363858.264,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363858.514,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363858.560,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363858.884,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363858.962,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363859.072,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363859.126,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363859.350,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363859.436,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363859.510,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363859.784,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363859.836,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363860.162,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363860.207,0,-31,0,1,21.00,2
0x000000000000000000004005,1517363860.250,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363860.305,0,-29,0,1,21.00,3
