MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:04:39 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517364257.691,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364257.753,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364258.031,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364258.280,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364258.315,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364258.592,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364258.665,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364258.981,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364259.256,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364259.879,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364259.937,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364260.262,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364260.901,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364261.809,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364262.060,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364262.343,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364262.621,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364262.673,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364262.947,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364263.246,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364263.293,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364263.593,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364263.638,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364264.576,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364264.954,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364265.652,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364265.989,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364266.033,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364266.227,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364266.729,0,-32,0,1,21.00,3
0x107010249722621700351874,1517364266.995,0,-32,0,1,21.00,3
0x107010549013305354071900,1517364257.701,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364257.743,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364259.570,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364260.195,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364261.215,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364261.546,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364262.001,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364262.069,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364262.329,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364262.979,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364263.256,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364263.626,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364263.824,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364264.116,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364264.175,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364264.360,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364264.599,0,-33,0,1,21.00,3
0x107010549013305354071900,1517364264.899,0,-33,0,1,21.00,3
0x107010549013305354071900,1517364265.674,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364266.298,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364266.742,0,-34,0,1,21.00,3
0x107010549013305354071900,1517364267.008,0,-34,0,1,21.00,3
0x110010349835865102614942,1517364257.712,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364258.271,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364258.333,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364258.616,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364259.244,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364259.281,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364259.559,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364259.611,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364259.890,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364260.525,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364260.586,0,-33,0,1,21.00,3
