MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:05:02 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006011,1517364288.726,0,-26,0,1,21.00,1
0x000000000000000000006011,1517364288.751,0,-27,0,1,21.00,1
0x000000000000000000006011,1517364288.789,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364288.836,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364288.888,0,-25,0,1,21.00,3
0x000000000000000000006011,1517364288.935,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364288.983,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364289.035,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364289.090,0,-26,0,1,21.00,1
0x000000000000000000006011,1517364289.124,0,-26,0,1,21.00,1
0x000000000000000000006011,1517364289.155,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364289.204,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364289.261,0,-25,0,1,21.00,3
0x000000000000000000006011,1517364289.303,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364289.364,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364289.411,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364289.467,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364289.491,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364289.529,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364289.573,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364289.634,0,-25,0,1,21.00,3
0x000000000000000000006011,1517364289.683,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364289.736,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364289.777,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364289.832,0,-26,0,1,21.00,1
0x000000000000000000006011,1517364289.860,0,-26,0,1,21.00,1
0x000000000000000000006011,1517364289.898,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364289.939,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364289.998,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364290.046,0,-25,0,1,21.00,3
0x000000000000000000006011,1517364290.094,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364290.146,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364290.208,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364290.237,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364290.272,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364290.322,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364290.364,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364290.406,0,-24,0,1,21.00,3
0x000000000000000000006011,1517364290.464,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364290.524,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364290.588,0,-26,0,1,21.00,1
0x000000000000000000006011,1517364290.617,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364290.653,0,-23,0,1,21.00,2
