MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:07:28 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517364435.342,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364435.377,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364435.457,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364435.668,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364435.691,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364435.755,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364435.793,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364436.003,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364436.048,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364436.335,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364436.372,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364436.429,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364436.487,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364436.686,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364436.753,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364436.803,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364436.999,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364437.047,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364437.082,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364437.269,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364437.321,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364437.362,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364437.414,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364437.835,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364437.890,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364437.978,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364438.159,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364438.236,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364438.502,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364438.548,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364438.816,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364438.884,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364439.221,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364439.256,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364439.453,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364439.540,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364439.589,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364439.762,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364439.799,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364439.953,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364440.000,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364440.298,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364440.391,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364440.624,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364440.865,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364440.961,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364441.172,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364441.475,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364441.585,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364441.782,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364441.830,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364441.871,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364441.937,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364442.225,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364442.388,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364442.442,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364442.607,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364442.653,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364442.701,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364442.757,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364442.940,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364442.980,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364443.156,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364443.216,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364443.307,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364443.483,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364443.549,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364443.773,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364443.955,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364444.003,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364444.296,0,-31,0,1,21.00,2
0x000000000000000000004005,1517364444.387,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364444.621,0,-29,0,1,21.00,3
0x000000000000000000004005,1517364444.824,0,-31,0,1,21.00,2
0x000000000000000000006011,1517364435.394,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364435.445,0,-32,0,1,21.00,3
0x000000000000000000006011,1517364435.496,0,-32,0,1,21.00,3
0x000000000000000000006011,1517364435.561,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364435.648,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364435.710,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364435.831,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364435.885,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364435.980,0,-24,0,1,21.00,2
0x000000000000000000006011,1517364436.063,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364436.137,0,-32,0,1,21.00,3
0x000000000000000000006011,1517364436.173,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364436.226,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364436.312,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364436.358,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364436.439,0,-32,0,1,21.00,3
0x000000000000000000006011,1517364436.501,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364436.548,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364436.636,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364436.698,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364436.762,0,-32,0,1,21.00,3
0x000000000000000000006011,1517364436.818,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364436.868,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364437.126,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364437.177,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364437.283,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364437.381,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364437.445,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364437.510,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364437.591,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364437.726,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364438.010,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364438.063,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364438.171,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364438.226,0,-27,0,1,21.00,2
0x000000000000000000006011,1517364438.278,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364438.318,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364438.349,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364438.409,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364438.485,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364438.537,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364438.589,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364438.636,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364438.688,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364438.727,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364438.826,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364438.871,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364438.994,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364439.055,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364439.210,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364439.269,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364439.288,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364439.356,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364439.432,0,-27,0,1,21.00,2
0x000000000000000000006011,1517364439.462,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364439.615,0,-29,0,1,21.00,4
0x000000000000000000006011,1517364439.672,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364439.833,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364439.889,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364439.963,0,-27,0,1,21.00,2
0x000000000000000000006011,1517364440.010,0,-27,0,1,21.00,2
0x000000000000000000006011,1517364440.151,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364440.199,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364440.273,0,-27,0,1,21.00,2
0x000000000000000000006011,1517364440.318,0,-27,0,1,21.00,2
0x000000000000000000006011,1517364440.449,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364440.505,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364440.685,0,-29,0,1,21.00,4
0x000000000000000000006011,1517364440.746,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364440.851,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364440.872,0,-25,0,1,21.00,2
0x000000000000000000006011,1517364440.950,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364441.004,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364441.067,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364441.251,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364441.356,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364441.448,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364441.503,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364441.555,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364441.620,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364441.647,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364441.698,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364441.795,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364441.954,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364442.005,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364442.180,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364442.213,0,-33,0,1,21.00,3
0x000000000000000000006011,1517364442.249,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364442.299,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364442.481,0,-29,0,1,21.00,4
0x000000000000000000006011,1517364442.525,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364442.622,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364442.674,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364442.833,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364443.013,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364443.062,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364443.385,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364443.562,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364443.618,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364443.787,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364443.833,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364443.935,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364444.102,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364444.145,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364444.284,0,-26,0,1,21.00,2
0x000000000000000000006011,1517364444.401,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364444.474,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364444.635,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364444.706,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364444.880,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364444.923,0,-27,0,1,21.00,4
0x000000000000000000006011,1517364445.096,0,-28,0,1,21.00,4
0x000000000000000000006011,1517364445.140,0,-27,0,1,21.00,4
0x107010349013305354381890,1517364435.404,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364435.476,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364435.773,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364436.016,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364436.080,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364436.443,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364436.652,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364436.711,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364436.987,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364437.601,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364437.653,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364437.826,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364437.865,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364437.919,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364437.988,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364438.215,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364438.512,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364438.573,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364438.620,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364438.847,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364438.920,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364438.949,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364439.231,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364439.444,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364439.482,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364439.510,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364439.561,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364439.781,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364439.978,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364440.070,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364440.122,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364440.288,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364440.335,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364440.372,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364440.409,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364440.579,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364440.642,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364440.841,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364440.895,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364440.922,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364440.983,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364441.152,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364441.195,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364441.263,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364441.465,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364441.513,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364441.772,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364441.818,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364441.916,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364442.170,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364442.236,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364442.463,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364443.166,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364443.193,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364443.232,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364443.976,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364444.082,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364444.377,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364444.557,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364444.841,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364445.026,0,-29,0,1,21.00,3
0x110010349835865102614942,1517364435.430,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364435.816,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364436.459,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364436.738,0,-33,0,1,21.00,3
0x110010349835865102614942,1517364436.782,0,-33,0,1,21.00,3
