MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:09:01 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517364519.411,0,-26,0,1,21.00,3
0x107010349013305354381890,1517364519.477,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364519.883,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364519.934,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364520.550,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364520.584,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364520.803,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364521.026,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364521.088,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364521.268,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364521.341,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364521.735,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364521.779,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364522.011,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364522.197,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364522.239,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364522.716,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364523.341,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364523.374,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364523.425,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364523.632,0,-33,0,1,21.00,2
0x107010349013305354381890,1517364523.684,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364523.767,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364523.949,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364523.993,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364524.156,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364524.201,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364524.255,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364524.297,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364524.534,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364524.680,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364524.943,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364525.158,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364525.352,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364525.534,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364525.728,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364525.795,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364525.975,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364526.028,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364526.105,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364526.281,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364526.329,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364526.942,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364527.003,0,-32,0,1,21.00,2
0x107010349013305354381890,1517364527.048,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364527.126,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364527.351,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364527.543,0,-28,0,1,21.00,3
0x107010349013305354381890,1517364527.748,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364527.802,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364527.961,0,-27,0,1,21.00,3
0x107010349013305354381890,1517364528.275,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364528.692,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364528.878,0,-29,0,1,21.00,3
0x107010349013305354381890,1517364528.909,0,-27,0,1,21.00,3
