MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 10:51:23 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517363470.510,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363470.559,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363470.729,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363470.789,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363470.958,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363471.000,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363471.522,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363471.999,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363472.044,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363472.230,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363472.294,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363472.557,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363472.618,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363472.882,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363473.161,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363473.203,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363473.481,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363473.867,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363474.075,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363474.256,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363474.361,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363474.533,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363474.724,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363474.774,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363474.951,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363475.463,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363475.821,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363475.854,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363476.329,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363476.389,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363476.528,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363476.578,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363477.008,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363477.302,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363477.349,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363477.511,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363477.994,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363478.368,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363478.523,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363478.567,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363478.837,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363478.916,0,-33,0,1,21.00,3
0x107010249722621700351874,1517363479.213,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363479.376,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363479.425,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363479.590,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363479.643,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363479.823,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363480.027,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363480.072,0,-32,0,1,21.00,3
0x107010349013305354381890,1517363470.520,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363470.546,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363470.712,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363470.763,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363471.236,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363471.489,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363471.529,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363471.735,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363472.215,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363472.304,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363472.594,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363472.815,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363472.867,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363473.134,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363473.192,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363473.460,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363473.515,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363473.779,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363473.829,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363474.044,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363474.245,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363474.335,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363474.539,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363474.714,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363474.941,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363475.117,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363475.185,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363475.472,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363476.034,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363476.052,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363476.316,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363476.355,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363476.517,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363476.562,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363476.751,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363476.799,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363476.999,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363477.019,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363477.280,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363477.359,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363477.579,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363477.741,0,-28,0,1,21.00,3
