MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 10:53:35 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517363601.326,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363601.354,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363601.572,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363601.747,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363601.819,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363601.986,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363602.028,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363602.323,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363602.377,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363602.634,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363602.667,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363603.158,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363603.206,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363603.462,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363603.507,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363603.689,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363603.717,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363603.890,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363604.198,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363604.243,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363604.418,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363604.462,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363604.759,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363604.779,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363605.323,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363605.372,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363605.661,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363605.703,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363605.879,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363605.926,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363606.105,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363606.149,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363606.332,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363606.617,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363606.797,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363606.840,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363607.013,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363607.049,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363607.359,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363607.374,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363607.567,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363607.618,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363607.829,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363607.846,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363608.269,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363608.317,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363608.502,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363608.554,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363608.731,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363608.771,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363608.955,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363608.999,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363609.209,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363609.412,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363609.496,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363609.742,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363609.790,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363609.946,0,-27,0,1,21.00,3
0x107010349013305354381890,1517363609.993,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363610.193,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363610.655,0,-28,0,1,21.00,3
0x107010349013305354381890,1517363610.742,0,-29,0,1,21.00,3
0x107010349013305354381890,1517363611.031,0,-29,0,1,21.00,3
0x107010549013305354071900,1517363601.336,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363601.379,0,-33,0,1,21.00,3
0x107010549013305354071900,1517363601.549,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363601.610,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363602.550,0,-33,0,1,21.00,1
0x107010549013305354071900,1517363602.751,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363602.785,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363603.070,0,-34,0,1,21.00,1
0x107010549013305354071900,1517363603.111,0,-34,0,1,21.00,1
0x107010549013305354071900,1517363604.316,0,-34,0,1,21.00,4
0x107010549013305354071900,1517363605.938,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363607.035,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363607.076,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363607.814,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363607.888,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363608.442,0,-34,0,1,21.00,4
0x107010549013305354071900,1517363610.480,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363610.697,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363610.970,0,-34,0,1,21.00,3
0x110010349835865102614942,1517363601.346,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363602.023,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363602.310,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363602.386,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363602.679,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363602.876,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363603.177,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363603.235,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363603.498,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363604.210,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363604.256,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363604.433,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363604.499,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363604.811,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363605.075,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363605.349,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363605.395,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363605.909,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363605.947,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363606.131,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363606.189,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363606.884,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363606.977,0,-35,0,1,21.00,4
0x110010349835865102614942,1517363607.399,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363607.598,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363607.873,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363608.060,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363608.106,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363608.299,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363608.347,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363608.534,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363608.786,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363609.435,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363609.506,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363609.806,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363610.025,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363610.203,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363610.247,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363610.470,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363610.500,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363610.666,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363610.733,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363610.980,0,-33,0,1,21.00,3
0x108010149872360088493237,1517363601.399,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363601.455,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363601.633,0,-29,0,1,21.00,4
0x108010149872360088493237,1517363601.688,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363601.845,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363601.934,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363602.081,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363602.134,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363602.405,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363602.454,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363602.725,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363602.769,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363602.939,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363603.002,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363603.776,0,-30,0,1,21.00,4
0x108010149872360088493237,1517363603.814,0,-29,0,1,21.00,4
0x108010149872360088493237,1517363603.988,0,-30,0,1,21.00,4
