MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:38:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381891,1515656296.592,0,-35,0,4,21.00,3
0x107010349013305354381891,1515656297.206,0,-35,0,4,21.00,3
0x106020349094110756201852,1515656296.603,0,-34,0,4,21.00,3
0x106020349094110756201852,1515656296.649,0,-34,0,4,21.00,3
0x106020349094110756201852,1515656297.449,0,-34,0,4,21.00,3
0x106020349094110756201852,1515656297.502,0,-34,0,4,21.00,3
0x107010349013305354381889,1515656296.613,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656296.692,0,-34,0,4,21.00,4
0x107010349013305354381889,1515656296.899,0,-31,0,4,21.00,3
0x107010349013305354381889,1515656296.983,0,-33,0,4,21.00,4
0x107010349013305354381889,1515656297.473,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656298.173,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656298.222,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656298.778,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656299.081,0,-31,0,4,21.00,3
0x107010349013305354381889,1515656299.131,0,-31,0,4,21.00,3
0x107010349013305354381889,1515656299.824,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656299.864,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656300.487,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656300.536,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656300.611,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656300.825,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656301.606,0,-34,0,1,21.00,4
0x107010349013305354381889,1515656301.859,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656301.897,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656302.150,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656302.186,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656302.481,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656302.540,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656302.628,0,-34,0,1,21.00,4
0x107010349013305354381889,1515656302.873,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656302.922,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656302.997,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656303.267,0,-31,0,1,21.00,3
0x107010349013305354381889,1515656303.319,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656303.376,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656303.418,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656303.569,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656303.637,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656303.825,0,-30,0,1,21.00,3
0x107010349013305354381889,1515656304.095,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656304.141,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656304.241,0,-31,0,2,21.00,3
0x107010349013305354381889,1515656304.320,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656304.396,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656304.564,0,-31,0,2,21.00,3
0x107010349013305354381889,1515656304.630,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656304.677,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656304.748,0,-31,0,2,21.00,3
0x107010349013305354381889,1515656304.782,0,-31,0,2,21.00,3
0x107010349013305354381889,1515656304.831,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656304.877,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656304.948,0,-31,0,2,21.00,3
0x107010349013305354381889,1515656304.986,0,-31,0,2,21.00,3
0x107010349013305354381889,1515656305.051,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656305.109,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656305.304,0,-33,0,2,21.00,4
0x107010349013305354381889,1515656305.377,0,-31,0,2,21.00,3
0x107010349013305354381889,1515656305.434,0,-31,0,2,21.00,3
0x107010349013305354381889,1515656305.491,0,-33,0,2,21.00,4
