MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:44:57 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211892,1515656684.747,0,-34,0,2,21.00,1
0x107010449013305354211892,1515656684.795,0,-34,0,2,21.00,1
0x107010449013305354211892,1515656684.857,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656684.891,0,-33,0,2,21.00,2
0x107010449013305354211892,1515656685.263,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656685.316,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656685.664,0,-33,0,2,21.00,2
0x107010449013305354211892,1515656685.735,0,-33,0,2,21.00,2
0x107010449013305354211892,1515656685.833,0,-34,0,2,21.00,3
0x107010449013305354211892,1515656686.079,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656686.150,0,-33,0,2,21.00,3
0x107010449013305354211892,1515656686.205,0,-33,0,2,21.00,3
0x107010449013305354211892,1515656686.498,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656686.596,0,-33,0,2,21.00,3
0x107010449013305354211892,1515656686.946,0,-34,0,2,21.00,3
0x107010449013305354211892,1515656687.201,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656687.249,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656687.298,0,-34,0,2,21.00,3
0x107010449013305354211892,1515656687.648,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656687.995,0,-34,0,2,21.00,2
0x107010449013305354211892,1515656688.554,0,-33,0,3,21.00,3
0x107010449013305354211892,1515656688.711,0,-34,0,3,21.00,1
0x107010449013305354211892,1515656688.765,0,-33,0,3,21.00,1
0x107010449013305354211892,1515656688.951,0,-33,0,3,21.00,3
0x107010449013305354211892,1515656689.122,0,-33,0,3,21.00,1
0x107010449013305354211892,1515656689.179,0,-34,0,3,21.00,2
0x107010449013305354211892,1515656689.327,0,-33,0,3,21.00,3
