MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:54:30 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515657256.634,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657256.700,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657257.058,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657257.137,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657257.475,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657257.534,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657257.884,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657257.925,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657258.309,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657258.681,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657258.737,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657259.063,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657259.125,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657259.436,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657259.512,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657259.863,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657259.899,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657260.254,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657260.288,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657260.682,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657261.065,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657261.433,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657261.802,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657261.872,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657262.263,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657262.627,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657262.962,0,-31,0,3,21.00,1
