MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:47:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x104010149108547326741498,1515656842.826,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656842.896,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656843.119,0,-34,0,2,21.00,1
0x104010149108547326741498,1515656843.336,0,-32,0,2,21.00,4
0x104010149108547326741498,1515656843.441,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656843.724,0,-32,0,2,21.00,4
0x104010149108547326741498,1515656843.800,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656844.161,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656844.374,0,-32,0,2,21.00,4
0x104010149108547326741498,1515656844.582,0,-32,0,2,21.00,4
0x104010149108547326741498,1515656844.681,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656845.018,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656845.051,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656845.310,0,-32,0,2,21.00,4
0x104010149108547326741498,1515656845.468,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656845.747,0,-35,0,2,21.00,1
0x104010149108547326741498,1515656846.009,0,-34,0,2,21.00,1
0x104010149108547326741498,1515656846.062,0,-34,0,2,21.00,1
0x104010149108547326741498,1515656846.244,0,-32,0,2,21.00,4
0x104010149108547326741498,1515656846.765,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656846.796,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656846.859,0,-35,0,3,21.00,1
0x104010149108547326741498,1515656846.919,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656847.170,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656847.242,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656847.293,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656847.523,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656847.552,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656847.917,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656848.306,0,-35,0,3,21.00,1
0x104010149108547326741498,1515656848.521,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656848.558,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656848.794,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656848.851,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656848.910,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656849.106,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656849.163,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656849.243,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656849.558,0,-35,0,3,21.00,1
0x104010149108547326741498,1515656849.610,0,-35,0,3,21.00,1
0x104010149108547326741498,1515656849.811,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656850.107,0,-35,0,3,21.00,1
0x104010149108547326741498,1515656850.160,0,-35,0,3,21.00,1
0x104010149108547326741498,1515656850.341,0,-32,0,3,21.00,4
0x104010149108547326741498,1515656850.387,0,-34,0,3,21.00,1
0x104010149108547326741498,1515656850.464,0,-34,0,4,21.00,1
0x104010149108547326741498,1515656850.607,0,-36,0,4,21.00,3
0x104010149108547326741498,1515656850.732,0,-32,0,4,21.00,4
0x104010149108547326741498,1515656850.787,0,-34,0,4,21.00,1
0x104010149108547326741498,1515656850.827,0,-34,0,4,21.00,1
0x104010149108547326741498,1515656851.050,0,-31,0,4,21.00,4
0x104010149108547326741498,1515656851.099,0,-31,0,4,21.00,4
0x104010149108547326741498,1515656851.171,0,-34,0,4,21.00,1
0x104010149108547326741498,1515656851.381,0,-31,0,4,21.00,4
0x104010149108547326741498,1515656851.433,0,-32,0,4,21.00,4
0x104010149108547326741498,1515656851.640,0,-31,0,4,21.00,4
0x104010149108547326741498,1515656851.731,0,-35,0,4,21.00,1
0x104010149108547326741498,1515656851.907,0,-31,0,4,21.00,4
0x104010149108547326741498,1515656851.981,0,-34,0,4,21.00,1
0x104010149108547326741498,1515656852.009,0,-34,0,4,21.00,1
0x104010149108547326741498,1515656852.276,0,-35,0,4,21.00,1
0x104010149108547326741498,1515656852.363,0,-36,0,4,21.00,3
0x00b07a139010bc913000c7d3,1515656842.840,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656842.885,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656843.052,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656843.091,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656843.373,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656843.431,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656843.769,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656843.811,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656844.136,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656844.194,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656844.658,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656844.700,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656845.395,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656845.439,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656845.694,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656845.756,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656846.329,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656846.369,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656846.873,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656847.228,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656847.276,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656847.606,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656847.669,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656848.278,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656848.329,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656848.509,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656848.571,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656849.199,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656849.253,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656849.631,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656849.851,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656850.088,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656850.146,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656850.422,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656850.838,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656851.191,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656851.673,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656851.711,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656851.991,0,-31,0,4,21.00,1
0x107010349013305354381888,1515656842.850,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656842.951,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656842.989,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656843.069,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656843.396,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656843.568,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656843.623,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656843.993,0,-34,0,2,21.00,3
0x107010349013305354381888,1515656844.151,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656844.179,0,-33,0,2,21.00,1
