MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:06:13 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515665158.754,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665158.801,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665159.057,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665159.128,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665159.367,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665159.416,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665159.604,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665159.650,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665159.823,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665159.883,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665160.362,0,-29,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665160.408,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665160.809,0,-29,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665160.861,0,-29,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665161.698,0,-29,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665161.745,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665161.998,0,-29,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665162.028,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665162.299,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665162.381,0,-29,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665162.693,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665162.751,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665163.003,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665163.065,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665163.378,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665163.427,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665163.666,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665163.718,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665163.957,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665164.007,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665164.481,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665164.530,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665164.705,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665164.753,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665165.440,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665165.480,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665165.953,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665165.981,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665166.597,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665166.650,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665166.902,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665166.968,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665167.343,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665167.400,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665167.569,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665167.618,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665168.099,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665168.148,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665168.885,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665168.929,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665169.190,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665169.249,0,-30,0,3,21.00,1
0x107010549013305354071900,1515665158.773,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665158.816,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665159.069,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665159.114,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665159.356,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665159.428,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665159.615,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665159.667,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665159.814,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665159.868,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665160.377,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665160.418,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665160.822,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665160.852,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665161.687,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665161.735,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665161.985,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665162.050,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665162.290,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665162.370,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665162.709,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665162.734,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665162.993,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665163.050,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665163.361,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665163.408,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665163.683,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665163.728,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665163.971,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665164.017,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665164.491,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665164.543,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665164.696,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665164.764,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665165.421,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665165.469,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665165.936,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665165.995,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665166.584,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665166.660,0,-33,0,3,21.00,1
0x107010549013305354071900,1515665166.914,0,-33,0,3,21.00,1
0x107010549013305354071900,1515665166.950,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665167.356,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665167.389,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665167.551,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665167.599,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665168.112,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665168.138,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665168.876,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665168.942,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665169.201,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665169.237,0,-32,0,3,21.00,1
0x107010249722621700351874,1515665158.857,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665158.928,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665159.179,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665159.485,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665159.520,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665159.742,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665160.000,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665160.057,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665160.251,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665160.519,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665160.622,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665160.641,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665160.994,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665161.018,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665161.264,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665161.295,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665161.454,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665161.524,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665161.786,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665161.826,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665162.080,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665162.117,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665162.504,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665162.544,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665162.813,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665162.842,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665163.180,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665163.221,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665163.472,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665163.534,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665163.783,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665163.805,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665164.054,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665164.126,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665164.282,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665164.334,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665164.592,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665164.627,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665164.800,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665164.839,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665165.036,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665165.211,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665165.268,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665165.568,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665165.737,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665165.803,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665166.057,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665166.101,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665166.272,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665166.299,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665166.418,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665166.700,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665166.758,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665166.998,0,-29,0,3,21.00,3
0x107010249722621700351874,1515665167.048,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665167.128,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665167.204,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665167.669,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665167.700,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665167.888,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665167.933,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665168.198,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665168.235,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665168.401,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665168.453,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665168.682,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665168.716,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665168.991,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665169.056,0,-31,0,3,21.00,3
