MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 6:47:56 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006031,1515664056.248,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664056.302,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664056.346,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664056.405,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664056.459,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664056.512,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664056.558,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664056.613,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664056.667,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664056.723,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664056.764,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664056.813,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664056.861,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664056.912,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664056.958,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664057.010,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664057.059,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664057.117,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664057.156,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664057.209,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664057.264,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664057.317,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664057.362,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664057.409,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664057.457,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664057.511,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664057.556,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664057.611,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664057.661,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664057.718,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664057.758,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664057.813,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664057.865,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664057.919,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664057.968,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664058.030,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664058.076,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664058.132,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664058.177,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664058.231,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664058.279,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664058.332,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664058.383,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664058.444,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664058.491,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664058.548,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664058.588,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664058.643,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664058.688,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664058.749,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664058.793,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664058.847,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664058.903,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664058.958,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664059.008,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664059.058,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664059.104,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664059.164,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664059.208,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664059.265,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664059.311,0,-18,0,3,21.00,3
0x000000000000000000006031,1515664059.369,0,-16,0,3,21.00,4
0x000000000000000000006031,1515664059.410,0,-16,0,3,21.00,4
