MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 6:54:52 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515664477.335,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664477.386,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664477.743,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664477.797,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664478.199,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664478.594,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664478.638,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664479.018,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664479.086,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664479.462,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664479.825,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664479.884,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664480.249,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664480.310,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664480.728,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664481.088,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515664481.163,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664481.523,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664481.573,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664481.924,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664481.985,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664482.359,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664482.407,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664482.769,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664482.795,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664483.140,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664483.197,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664483.548,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664483.574,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664483.936,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664483.997,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664484.361,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664484.408,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664484.767,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664484.802,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515664485.202,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664485.249,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664485.646,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664485.689,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664486.039,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664486.094,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664486.462,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664486.505,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664486.860,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664486.909,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515664487.256,0,-30,0,1,21.00,1
0x107010349013305354381888,1515664477.344,0,-33,0,3,21.00,1
0x107010349013305354381888,1515664477.771,0,-33,0,3,21.00,1
0x107010349013305354381888,1515664478.175,0,-33,0,3,21.00,1
0x107010349013305354381888,1515664478.548,0,-33,0,3,21.00,4
0x107010349013305354381888,1515664478.619,0,-33,0,3,21.00,1
0x107010349013305354381888,1515664478.917,0,-34,0,3,21.00,4
0x107010349013305354381888,1515664478.984,0,-33,0,3,21.00,4
0x107010349013305354381888,1515664479.073,0,-33,0,3,21.00,1
0x107010349013305354381888,1515664479.346,0,-34,0,3,21.00,4
0x107010349013305354381888,1515664479.861,0,-33,0,3,21.00,1
0x107010349013305354381888,1515664480.157,0,-33,0,3,21.00,4
0x107010349013305354381888,1515664480.214,0,-33,0,3,21.00,4
0x107010349013305354381888,1515664480.300,0,-33,0,3,21.00,1
0x107010349013305354381888,1515664480.586,0,-33,0,3,21.00,4
0x107010349013305354381888,1515664480.669,0,-33,0,3,21.00,1
0x107010349013305354381888,1515664481.485,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664481.830,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664481.896,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664482.315,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664483.086,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664483.453,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664483.838,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664483.884,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664484.265,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664484.323,0,-34,0,4,21.00,4
0x107010349013305354381888,1515664485.536,0,-33,0,1,21.00,4
0x107010349013305354381888,1515664485.602,0,-33,0,1,21.00,4
0x107010349013305354381888,1515664485.985,0,-33,0,1,21.00,4
0x107010349013305354381888,1515664486.776,0,-33,0,1,21.00,4
0x107010349013305354381888,1515664486.817,0,-33,0,1,21.00,4
0x107010349013305354381888,1515664487.140,0,-33,0,1,21.00,4
0x107010349013305354381888,1515664487.197,0,-33,0,1,21.00,4
0x000000000000000000006031,1515664477.359,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664477.415,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664477.467,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664477.526,0,-19,0,3,21.00,3
0x000000000000000000006031,1515664477.576,0,-19,0,3,21.00,3
0x000000000000000000006031,1515664477.613,0,-19,0,3,21.00,4
0x000000000000000000006031,1515664477.667,0,-19,0,3,21.00,4
0x000000000000000000006031,1515664477.721,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664477.777,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664477.831,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664477.907,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664477.969,0,-19,0,3,21.00,3
0x000000000000000000006031,1515664478.014,0,-19,0,3,21.00,3
0x000000000000000000006031,1515664478.067,0,-19,0,3,21.00,4
0x000000000000000000006031,1515664478.106,0,-19,0,3,21.00,4
0x000000000000000000006031,1515664478.162,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664478.205,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664478.253,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664478.300,0,-16,0,3,21.00,2
0x000000000000000000006031,1515664478.366,0,-19,0,3,21.00,3
0x000000000000000000006031,1515664478.426,0,-19,0,3,21.00,3
0x000000000000000000006031,1515664478.476,0,-19,0,3,21.00,4
0x000000000000000000006031,1515664478.523,0,-19,0,3,21.00,4
0x000000000000000000006031,1515664478.575,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664478.625,0,-20,0,3,21.00,1
0x000000000000000000006031,1515664478.686,0,-16,0,3,21.00,2
