MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 6:59:51 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006031,1515664776.795,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664776.830,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664776.968,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664777.016,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664777.071,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664777.108,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664777.229,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664777.278,0,-20,0,1,21.00,4
0x000000000000000000006031,1515664777.338,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664777.378,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664777.524,0,-20,0,1,21.00,4
0x000000000000000000006031,1515664777.572,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664777.638,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664777.677,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664777.844,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664777.894,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664777.955,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664777.991,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664778.142,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664778.189,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664778.250,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664778.288,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664778.454,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664778.497,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664778.608,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664778.645,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664778.789,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664778.831,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664779.004,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664779.038,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664779.186,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664779.226,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664779.311,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664779.352,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664779.497,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664779.543,0,-20,0,1,21.00,4
0x000000000000000000006031,1515664779.703,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664779.750,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664779.893,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664779.934,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664780.118,0,-21,0,1,21.00,2
0x000000000000000000006031,1515664780.165,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664780.329,0,-21,0,1,21.00,4
0x000000000000000000006031,1515664780.371,0,-20,0,1,21.00,4
0x000000000000000000006031,1515664780.547,0,-22,0,1,21.00,2
0x000000000000000000006031,1515664780.608,0,-21,0,2,21.00,2
0x000000000000000000006031,1515664780.754,0,-21,0,2,21.00,4
0x000000000000000000006031,1515664780.797,0,-21,0,2,21.00,4
0x000000000000000000006031,1515664780.867,0,-22,0,2,21.00,2
0x000000000000000000006031,1515664780.902,0,-21,0,2,21.00,2
0x000000000000000000006031,1515664780.983,0,-26,0,2,21.00,3
0x000000000000000000006031,1515664781.092,0,-21,0,2,21.00,4
0x000000000000000000006031,1515664781.256,0,-21,0,2,21.00,2
0x000000000000000000006031,1515664781.296,0,-21,0,2,21.00,2
0x000000000000000000006031,1515664781.376,0,-26,0,2,21.00,3
0x000000000000000000006031,1515664781.402,0,-26,0,2,21.00,3
0x000000000000000000006031,1515664781.445,0,-21,0,2,21.00,4
0x000000000000000000006031,1515664781.495,0,-21,0,2,21.00,4
0x000000000000000000006031,1515664781.554,0,-21,0,2,21.00,2
0x000000000000000000006031,1515664781.590,0,-21,0,2,21.00,2
0x000000000000000000006031,1515664781.667,0,-26,0,2,21.00,3
0x000000000000000000006031,1515664781.698,0,-26,0,2,21.00,3
0x000000000000000000006031,1515664781.738,0,-21,0,2,21.00,4
0x000000000000000000006031,1515664781.779,0,-21,0,2,21.00,4
