MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:13:04 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006031,1515665569.952,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665570.000,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665570.054,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665570.095,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665570.149,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665570.202,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665570.257,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665570.310,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665570.363,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665570.413,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665570.461,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665570.511,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665570.566,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665570.611,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665570.661,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665570.711,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665570.762,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665570.803,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665570.859,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665570.906,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665570.971,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665571.012,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665571.086,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665571.132,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665571.190,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665571.241,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665571.293,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665571.345,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665571.399,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665571.460,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665571.523,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665571.566,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665571.622,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665571.668,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665571.730,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665571.776,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665571.830,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665571.881,0,-22,0,1,21.00,3
0x000000000000000000006031,1515665571.952,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665571.997,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665572.054,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665572.101,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665572.155,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665572.200,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665572.252,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665572.290,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665572.346,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665572.391,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665572.443,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665572.486,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665572.544,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665572.588,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665572.644,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665572.707,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665572.771,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665572.821,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665572.878,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665572.925,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665572.977,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665573.019,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665573.070,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665573.128,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665573.187,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665573.237,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665573.297,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665573.353,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665573.408,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665573.453,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665573.506,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665573.557,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665573.619,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665573.664,0,-18,0,1,21.00,4
