MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:03:57 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515665019.636,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665019.728,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665019.974,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665020.043,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665020.666,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665020.891,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665021.082,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665021.123,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665021.491,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665021.576,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665021.787,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665021.838,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665022.195,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665022.233,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665022.416,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665022.447,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665023.571,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665023.642,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665023.934,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665023.987,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665024.390,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665024.442,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665024.694,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665024.745,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665024.928,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665024.977,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665025.658,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665025.699,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665025.854,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665025.910,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665026.152,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665026.191,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665026.699,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665026.751,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665026.969,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665027.025,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665027.284,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665027.343,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665027.723,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665027.782,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665028.041,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665028.085,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665028.455,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665028.505,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665028.695,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665028.742,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665019.646,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665019.746,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665019.988,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665020.053,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665020.646,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665020.702,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665020.862,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665020.904,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665021.070,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665021.145,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665021.481,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665021.557,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665021.777,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665021.811,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665022.182,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665022.221,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665022.406,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665022.456,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665023.581,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665023.629,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665023.946,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665023.977,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665024.403,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665024.455,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665024.704,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665024.762,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665024.909,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665024.955,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665025.640,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665025.684,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665025.870,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665025.893,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665026.143,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665026.208,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665026.716,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665026.761,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665026.981,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665027.036,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665027.297,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665027.330,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665027.738,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665027.765,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665028.026,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665028.066,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665028.465,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665028.525,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665028.680,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665028.726,0,-31,0,3,21.00,1
0x107010349013305354381889,1515665019.839,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665019.887,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665020.097,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665020.149,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665020.228,0,-34,0,1,21.00,4
0x107010349013305354381889,1515665020.304,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665020.355,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665020.426,0,-33,0,1,21.00,4
0x107010349013305354381889,1515665020.494,0,-33,0,1,21.00,4
0x107010349013305354381889,1515665020.574,0,-30,0,1,21.00,3
0x107010349013305354381889,1515665020.744,0,-30,0,1,21.00,3
0x107010349013305354381889,1515665020.779,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665020.946,0,-28,0,1,21.00,3
0x107010349013305354381889,1515665020.994,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665021.172,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665021.218,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665021.352,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665021.405,0,-28,0,1,21.00,3
0x107010349013305354381889,1515665021.665,0,-30,0,1,21.00,3
0x107010349013305354381889,1515665021.706,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665021.962,0,-28,0,1,21.00,3
0x107010349013305354381889,1515665022.007,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665022.074,0,-32,0,1,21.00,4
0x107010349013305354381889,1515665022.136,0,-32,0,1,21.00,4
0x107010349013305354381889,1515665022.281,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665022.327,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665022.573,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665022.611,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665022.965,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665023.013,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665023.222,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665023.275,0,-29,0,1,21.00,3
0x107010349013305354381889,1515665023.448,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665023.493,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665023.768,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665023.856,0,-33,0,2,21.00,4
0x107010349013305354381889,1515665024.086,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665024.125,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665024.294,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665024.318,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665024.486,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665024.535,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665024.604,0,-32,0,2,21.00,4
0x107010349013305354381889,1515665024.645,0,-32,0,2,21.00,4
0x107010349013305354381889,1515665024.803,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665024.838,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665025.004,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665025.050,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665025.126,0,-32,0,2,21.00,4
0x107010349013305354381889,1515665025.172,0,-32,0,2,21.00,4
0x107010349013305354381889,1515665025.272,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665025.344,0,-32,0,2,21.00,4
0x107010349013305354381889,1515665025.385,0,-32,0,2,21.00,4
0x107010349013305354381889,1515665025.441,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665025.487,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665025.736,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665025.801,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665025.943,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665025.982,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665026.069,0,-33,0,2,21.00,4
0x107010349013305354381889,1515665026.400,0,-33,0,2,21.00,4
0x107010349013305354381889,1515665026.437,0,-33,0,2,21.00,4
0x107010349013305354381889,1515665026.490,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665026.551,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665026.848,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665026.887,0,-30,0,2,21.00,3
0x107010349013305354381889,1515665027.072,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665027.103,0,-29,0,2,21.00,3
0x107010349013305354381889,1515665027.178,0,-33,0,2,21.00,4
0x107010349013305354381889,1515665027.214,0,-33,0,2,21.00,4
0x107010349013305354381889,1515665027.374,0,-29,0,3,21.00,3
0x107010349013305354381889,1515665027.425,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665027.511,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665027.590,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665027.684,0,-33,0,3,21.00,4
0x107010349013305354381889,1515665027.843,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665027.859,0,-29,0,3,21.00,3
0x107010349013305354381889,1515665027.945,0,-33,0,3,21.00,4
0x107010349013305354381889,1515665028.113,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665028.167,0,-29,0,3,21.00,3
0x107010349013305354381889,1515665028.224,0,-33,0,3,21.00,4
0x107010349013305354381889,1515665028.284,0,-33,0,3,21.00,4
0x107010349013305354381889,1515665028.332,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665028.377,0,-29,0,3,21.00,3
0x107010349013305354381889,1515665028.570,0,-31,0,3,21.00,3
0x107010349013305354381889,1515665028.597,0,-29,0,3,21.00,3
0x107010349013305354381889,1515665028.773,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665028.817,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665028.906,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665028.980,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665029.077,0,-30,0,3,21.00,3
0x107010349013305354381889,1515665029.151,0,-33,0,3,21.00,4
0x107010349013305354381889,1515665029.197,0,-33,0,3,21.00,4
0x107010249722621700351874,1515665019.862,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665019.890,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665020.307,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665020.350,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665020.530,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665020.611,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665020.797,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665020.962,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665021.007,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665021.170,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665021.239,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665021.367,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665021.401,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665021.674,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665021.709,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665021.985,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665022.364,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665022.641,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665022.798,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665022.815,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665022.966,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665023.017,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665023.100,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665023.167,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665023.220,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665023.273,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665024.085,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665024.136,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665024.296,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665024.321,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665024.506,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665024.533,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665024.802,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665024.840,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665025.031,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665025.055,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665025.243,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665025.454,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665025.520,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665025.738,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665025.814,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665025.988,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665026.327,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665026.519,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665026.924,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665027.076,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665027.133,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665027.392,0,-32,0,3,21.00,3
0x107010249722621700351874,1515665027.438,0,-32,0,3,21.00,3
0x107010249722621700351874,1515665027.529,0,-32,0,3,21.00,3
0x107010249722621700351874,1515665027.581,0,-32,0,3,21.00,3
0x107010249722621700351874,1515665028.132,0,-32,0,3,21.00,3
0x107010249722621700351874,1515665028.166,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665028.553,0,-30,0,3,21.00,3
0x107010249722621700351874,1515665028.632,0,-31,0,3,21.00,3
0x107010249722621700351874,1515665028.812,0,-32,0,3,21.00,3
0x107010249722621700351874,1515665028.935,0,-32,0,3,21.00,3
0x107010249722621700351874,1515665028.996,0,-32,0,3,21.00,3
0x107010249722621700351874,1515665029.086,0,-30,0,3,21.00,3
0x107010349013305353841885,1515665019.872,0,-34,0,1,21.00,3
0x107010349013305353841885,1515665019.910,0,-34,0,1,21.00,3
0x107010349013305353841885,1515665020.340,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665019.900,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.113,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.165,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.325,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.374,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.554,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.591,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.759,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.810,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665020.984,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665021.026,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665021.202,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665021.250,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665021.382,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665021.431,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665021.698,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665021.999,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665022.301,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665022.338,0,-34,0,1,21.00,3
0x106020349010851617841860,1515665022.593,0,-34,0,1,21.00,3
