MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:28:01 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517365668.746,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365668.782,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365668.824,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365668.869,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365668.920,0,-27,0,1,21.00,3
0x000000000000000000006041,1517365669.063,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365669.119,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365669.173,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365669.230,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365669.270,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365669.354,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365669.418,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365669.467,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365669.522,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365669.572,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365669.634,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365669.685,0,-22,0,1,21.00,2
0x000000000000000000006041,1517365669.778,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365669.849,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365669.899,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365669.950,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365669.989,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365670.036,0,-22,0,1,21.00,2
0x000000000000000000006041,1517365670.074,0,-22,0,1,21.00,2
0x000000000000000000006041,1517365670.219,0,-15,0,1,21.00,4
0x000000000000000000006041,1517365670.262,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365670.323,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365670.359,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365670.406,0,-22,0,1,21.00,2
0x000000000000000000006041,1517365670.444,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365670.600,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365670.653,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365670.714,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365670.742,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365670.782,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365670.828,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365670.902,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365670.944,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365670.988,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365671.039,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365671.097,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365671.127,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365671.162,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365671.242,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365671.388,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365671.434,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365671.502,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365671.539,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365671.574,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365671.619,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365671.690,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365671.753,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365671.834,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365671.890,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365671.914,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365671.951,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365672.003,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365672.092,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365672.122,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365672.160,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365672.212,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365672.259,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365672.284,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365672.320,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365672.395,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365672.602,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365672.657,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365672.708,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365672.735,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365672.769,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365672.824,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365672.913,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365672.980,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365673.019,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365673.072,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365673.099,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365673.135,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365673.194,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365673.275,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365673.386,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365673.447,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365673.472,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365673.504,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365673.569,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365673.756,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365673.804,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365673.866,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365673.890,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365673.937,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365673.974,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365674.032,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365674.085,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365674.117,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365674.167,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365674.217,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365674.245,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365674.281,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365674.325,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365674.422,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365674.481,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365674.535,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365674.590,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365674.615,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365674.652,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365674.696,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365674.839,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365674.900,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365674.951,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365674.975,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365675.013,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365675.059,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365675.216,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365675.260,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365675.321,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365675.350,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365675.383,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365675.429,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365675.590,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365675.638,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365675.693,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365675.718,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365675.751,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365675.800,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365675.872,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365675.922,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365675.961,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365676.009,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365676.063,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365676.088,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365676.123,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365676.169,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365676.252,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365676.302,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365676.335,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365676.381,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365676.528,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365676.553,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365676.588,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365676.635,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365676.789,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365676.859,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365676.913,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365676.941,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365676.974,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365677.020,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365677.167,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365677.218,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365677.271,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365677.297,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365677.334,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365677.386,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365677.474,0,-30,0,1,21.00,3
0x000000000000000000006041,1517365677.527,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365677.574,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365677.622,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365677.648,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365677.683,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365677.732,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365677.883,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365677.936,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365678.014,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365678.039,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365678.075,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365678.121,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365678.202,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365678.253,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365678.271,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365678.321,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365678.381,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365678.404,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365678.444,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365678.490,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365678.635,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365678.687,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365678.756,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365678.784,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365678.815,0,-21,0,1,21.00,2
0x000000000000000000006041,1517365678.857,0,-20,0,1,21.00,2
0x000000000000000000006041,1517365678.926,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365678.966,0,-29,0,1,21.00,3
0x000000000000000000006041,1517365679.004,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365679.058,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365679.126,0,-20,0,1,21.00,1
0x107010145263633097591868,1517365668.758,0,-32,0,1,21.00,1
0x107010145263633097591868,1517365668.797,0,-32,0,1,21.00,1
0x107010145263633097591868,1517365669.141,0,-32,0,1,21.00,1
0x107010145263633097591868,1517365669.201,0,-33,0,1,21.00,1
0x107010145263633097591868,1517365669.537,0,-33,0,1,21.00,1
0x107010145263633097591868,1517365669.588,0,-33,0,1,21.00,1
0x107010145263633097591868,1517365675.232,0,-34,0,1,21.00,4
0x107010145263633097591868,1517365675.668,0,-33,0,1,21.00,4
0x107010145263633097591868,1517365675.989,0,-34,0,1,21.00,4
0x107010145263633097591868,1517365676.046,0,-34,0,1,21.00,4
0x107010145263633097591868,1517365677.587,0,-34,0,1,21.00,4
0x107010145263633097591868,1517365678.654,0,-34,0,1,21.00,4
0x107010249722621700351874,1517365668.838,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365668.991,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365669.644,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365669.718,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365670.053,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365670.092,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365670.151,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365670.180,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365670.426,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365670.468,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365670.816,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365670.842,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365670.911,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365670.960,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365671.179,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365671.268,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365671.321,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365671.591,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365671.645,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365671.982,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365672.027,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365672.351,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365672.428,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365672.781,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365672.837,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365673.146,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365673.207,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365673.552,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365673.626,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365673.685,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365673.731,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365673.951,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365673.990,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365674.313,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365674.342,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365674.687,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365674.711,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365674.774,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365674.804,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365675.044,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365675.078,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365675.145,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365675.188,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365675.398,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365675.443,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365675.519,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365675.563,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365675.767,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365675.813,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365676.136,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365676.184,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365676.606,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365676.651,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365676.716,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365676.758,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365677.007,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365677.053,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365677.101,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365677.140,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365677.357,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365677.413,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365677.704,0,-32,0,1,21.00,2
0x107010249722621700351874,1517365677.762,0,-31,0,1,21.00,2
0x107010249722621700351874,1517365677.813,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365677.859,0,-31,0,1,21.00,3
0x107010249722621700351874,1517365678.104,0,-31,0,1,21.00,2
