MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:31:07 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517365854.337,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365854.386,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365854.537,0,-24,0,1,21.00,4
0x000000000000000000006041,1517365854.588,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365854.644,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365854.716,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365854.874,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365854.920,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365854.988,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365855.071,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365855.253,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365855.302,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365855.382,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365855.440,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365855.598,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365855.639,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365855.723,0,-32,0,1,21.00,1
0x000000000000000000006041,1517365855.779,0,-32,0,1,21.00,1
0x000000000000000000006041,1517365855.841,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365855.991,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365856.046,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365856.205,0,-22,0,1,21.00,2
0x000000000000000000006041,1517365856.251,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365856.404,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365856.451,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365856.616,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365856.665,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365856.819,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365856.872,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365856.943,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365856.988,0,-24,0,1,21.00,2
0x000000000000000000006041,1517365857.141,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365857.201,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365857.266,0,-24,0,1,21.00,2
0x000000000000000000006041,1517365857.315,0,-24,0,1,21.00,2
0x000000000000000000006041,1517365857.476,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365857.530,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365857.692,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365857.742,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365857.907,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365857.963,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365858.177,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365858.218,0,-23,0,1,21.00,2
0x000000000000000000006041,1517365858.375,0,-24,0,1,21.00,4
0x000000000000000000006041,1517365858.427,0,-23,0,1,21.00,4
0x000000000000000000006041,1517365858.590,0,-24,0,1,21.00,2
0x000000000000000000006041,1517365858.647,0,-23,0,1,21.00,2
