MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:32:08 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517365915.487,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365915.533,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365915.588,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365915.635,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365915.702,0,-26,0,1,21.00,3
0x000000000000000000006041,1517365915.752,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365915.808,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365915.860,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365915.918,0,-23,0,1,21.00,1
0x000000000000000000006041,1517365915.968,0,-23,0,1,21.00,1
0x000000000000000000006041,1517365916.023,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365916.069,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365916.134,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365916.178,0,-26,0,1,21.00,3
0x000000000000000000006041,1517365916.238,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365916.283,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365916.343,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365916.392,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365916.448,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365916.503,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365916.556,0,-26,0,1,21.00,3
0x000000000000000000006041,1517365916.607,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365916.663,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365916.718,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365916.769,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365916.822,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365916.875,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365916.918,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365916.978,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365917.027,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365917.082,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365917.122,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365917.176,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365917.227,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365917.281,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365917.322,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365917.384,0,-26,0,1,21.00,3
0x000000000000000000006041,1517365917.427,0,-25,0,1,21.00,3
0x000000000000000000006041,1517365917.487,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365917.532,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365917.598,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365917.647,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365917.693,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365917.750,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365917.822,0,-26,0,1,21.00,3
0x000000000000000000006041,1517365917.873,0,-26,0,1,21.00,3
0x000000000000000000006041,1517365917.933,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365917.977,0,-14,0,1,21.00,4
0x000000000000000000006041,1517365918.038,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365918.082,0,-24,0,1,21.00,1
0x000000000000000000006041,1517365918.139,0,-16,0,1,21.00,2
0x000000000000000000006041,1517365918.156,0,-16,0,1,21.00,2
