MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:40:34 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517366420.035,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366420.079,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366420.132,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366420.181,0,-25,0,1,21.00,3
0x000000000000000000006041,1517366420.234,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366420.280,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366420.318,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366420.376,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366420.412,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366420.467,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366420.508,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366420.623,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366420.666,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366420.720,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366420.764,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366420.812,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366420.848,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366420.895,0,-18,0,1,21.00,2
0x000000000000000000006041,1517366420.947,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366421.021,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366421.068,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366421.124,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366421.166,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366421.226,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366421.267,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366421.312,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366421.356,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366421.411,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366421.452,0,-25,0,1,21.00,3
0x000000000000000000006041,1517366421.501,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366421.543,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366421.602,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366421.639,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366421.692,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366421.738,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366421.807,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366421.857,0,-25,0,1,21.00,3
0x000000000000000000006041,1517366421.919,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366421.979,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366422.028,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366422.067,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366422.110,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366422.157,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366422.214,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366422.262,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366422.315,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366422.368,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366422.429,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366422.469,0,-21,0,1,21.00,1
0x000000000000000000006041,1517366422.517,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366422.570,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366422.636,0,-24,0,1,21.00,3
0x000000000000000000006041,1517366422.677,0,-25,0,1,21.00,3
0x000000000000000000006041,1517366422.736,0,-15,0,1,21.00,4
