MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:40:52 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517366439.922,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366439.959,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366439.981,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366440.064,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366440.117,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366440.175,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366440.218,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366440.278,0,-22,0,1,21.00,1
0x000000000000000000006041,1517366440.320,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366440.385,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366440.417,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366440.457,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366440.502,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366440.564,0,-16,0,1,21.00,4
0x000000000000000000006041,1517366440.606,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366440.656,0,-22,0,1,21.00,1
0x000000000000000000006041,1517366440.702,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366440.763,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366440.842,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366440.930,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366440.979,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366441.037,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366441.087,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366441.148,0,-22,0,1,21.00,1
0x000000000000000000006041,1517366441.193,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366441.251,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366441.325,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366441.387,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366441.436,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366441.485,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366441.528,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366441.590,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366441.634,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366441.698,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366441.753,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366441.819,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366441.863,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366441.919,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366441.960,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366442.012,0,-22,0,1,21.00,1
0x000000000000000000006041,1517366442.052,0,-22,0,1,21.00,1
0x000000000000000000006041,1517366442.101,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366442.130,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366442.204,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366442.244,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366442.307,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366442.363,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366442.423,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366442.461,0,-22,0,1,21.00,1
0x000000000000000000006041,1517366442.505,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366442.524,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366442.562,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366442.602,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366442.665,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366442.719,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366442.776,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366442.823,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366442.880,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366442.927,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366443.027,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366443.072,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366443.130,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366443.176,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366443.231,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366443.271,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366443.314,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366443.364,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366443.449,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366443.492,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366443.552,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366443.617,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366443.736,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366443.772,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366443.822,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366443.872,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366443.940,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366443.995,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366444.055,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366444.103,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366444.161,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366444.215,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366444.270,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366444.326,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366444.387,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366444.430,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366444.489,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366444.548,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366444.594,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366444.630,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366444.677,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366444.748,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366444.957,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366445.004,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366445.061,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366445.116,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366445.166,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366445.206,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366445.255,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366445.280,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366445.338,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366445.388,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366445.444,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366445.494,0,-15,0,1,21.00,4
0x000000000000000000006041,1517366445.554,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366445.599,0,-23,0,1,21.00,1
0x000000000000000000006041,1517366445.659,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366445.716,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366445.810,0,-19,0,1,21.00,3
0x000000000000000000006041,1517366445.852,0,-19,0,1,21.00,3
