MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:35:33 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097661866,1517366121.115,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366121.162,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366123.898,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366123.925,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366126.271,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366126.302,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366126.854,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366126.888,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366127.606,0,-33,0,1,21.00,1
0x107010145263633097661866,1517366127.642,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366121.131,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366121.173,0,-34,0,1,21.00,1
0x107010349013305354381890,1517366121.216,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366121.296,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366121.459,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366121.527,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366121.589,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366121.778,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366121.811,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366121.854,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366121.938,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366122.153,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366122.204,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366122.226,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366122.564,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366122.588,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366122.767,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366122.808,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366122.991,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366123.045,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366123.298,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366123.346,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366123.652,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366123.704,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366124.067,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366124.111,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366124.320,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366124.334,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366124.542,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366124.598,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366124.650,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366124.859,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366124.904,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366125.172,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366125.230,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366125.314,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366125.546,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366126.040,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366126.111,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366126.342,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366126.596,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366126.632,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366126.683,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366126.945,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366126.980,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366127.075,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366127.304,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366127.367,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366127.415,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366127.720,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366128.012,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366128.058,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366128.366,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366128.680,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366128.727,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366128.980,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366129.010,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366129.234,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366129.330,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366129.533,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366129.576,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366129.852,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366129.920,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366130.070,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366130.113,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366130.183,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366130.596,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366130.641,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366130.900,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366130.942,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366131.133,0,-27,0,1,21.00,3
0x000000000000000000004005,1517366121.231,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366121.306,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366121.477,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366121.506,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366121.556,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366121.632,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366121.824,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366121.872,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366121.926,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366122.118,0,-31,0,1,21.00,2
0x000000000000000000004005,1517366122.217,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366122.580,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366123.108,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366123.155,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366123.322,0,-29,0,1,21.00,3
0x000000000000000000004005,1517366123.359,0,-29,0,1,21.00,3
