MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:44:04 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517366632.569,0,-28,0,1,21.00,1
0x000000000000000000006041,1517366632.588,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366632.643,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366632.711,0,-27,0,1,21.00,3
0x000000000000000000006041,1517366632.794,0,-28,0,1,21.00,3
0x000000000000000000006041,1517366632.861,0,-27,0,1,21.00,4
0x000000000000000000006041,1517366632.944,0,-27,0,1,21.00,1
0x000000000000000000006041,1517366632.964,0,-25,0,1,21.00,1
0x000000000000000000006041,1517366633.007,0,-18,0,1,21.00,2
0x000000000000000000006041,1517366633.123,0,-18,0,1,21.00,2
0x000000000000000000006041,1517366633.284,0,-27,0,1,21.00,4
0x000000000000000000006041,1517366633.350,0,-27,0,1,21.00,4
0x000000000000000000006041,1517366633.492,0,-27,0,1,21.00,1
0x000000000000000000006041,1517366633.528,0,-18,0,1,21.00,2
0x000000000000000000006041,1517366633.564,0,-18,0,1,21.00,2
0x000000000000000000006041,1517366633.621,0,-27,0,1,21.00,3
0x000000000000000000006041,1517366633.800,0,-27,0,1,21.00,4
0x000000000000000000006041,1517366633.887,0,-27,0,1,21.00,1
0x000000000000000000006041,1517366633.904,0,-27,0,1,21.00,1
0x000000000000000000006041,1517366633.949,0,-17,0,1,21.00,2
0x000000000000000000006041,1517366633.989,0,-18,0,1,21.00,2
0x000000000000000000006041,1517366634.065,0,-28,0,1,21.00,3
0x000000000000000000006041,1517366634.096,0,-28,0,1,21.00,3
0x000000000000000000006041,1517366634.126,0,-27,0,1,21.00,4
0x000000000000000000006041,1517366634.176,0,-27,0,1,21.00,4
0x000000000000000000006041,1517366634.240,0,-25,0,1,21.00,1
0x000000000000000000006041,1517366634.328,0,-18,0,1,21.00,2
0x000000000000000000006041,1517366634.378,0,-18,0,1,21.00,2
