MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:04:42 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371469.693,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371469.735,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371469.794,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371469.872,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371469.921,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371470.091,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371470.130,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371470.249,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371470.308,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371470.352,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371470.531,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371470.568,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371470.622,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371470.749,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371470.788,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371470.824,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371471.003,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371471.041,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371471.197,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371471.242,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371471.427,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371471.461,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371471.611,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371471.671,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371471.850,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371471.889,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371471.959,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371472.026,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371472.084,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371472.286,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371472.476,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371472.642,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371472.682,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371472.743,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371472.824,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371472.886,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371472.980,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371473.036,0,-30,0,1,21.00,4
