MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:02:15 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371320.286,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371320.323,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371320.389,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371320.442,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371320.482,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371320.532,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371320.587,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371320.647,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371320.702,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371320.742,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371320.815,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371320.849,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371320.888,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371320.936,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371320.992,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371321.053,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371321.114,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371321.157,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371321.233,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371321.291,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371321.318,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371321.362,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371321.422,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371321.482,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371321.547,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371321.590,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371321.744,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371321.786,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371321.843,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371321.897,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371322.029,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371322.105,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371322.166,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371322.207,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371322.268,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371322.354,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371322.383,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371322.421,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371322.492,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371322.540,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371322.577,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371322.636,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371322.701,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371322.746,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371322.827,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371322.856,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371322.916,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371322.966,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371323.009,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371323.056,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371323.108,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371323.173,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371323.262,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371323.296,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371323.355,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371323.422,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371323.485,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371323.544,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371323.604,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371323.657,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371323.722,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371323.765,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371323.816,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371323.854,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371323.897,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371323.978,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371324.028,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371324.229,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371324.246,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371324.362,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371324.405,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371324.450,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371324.513,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371324.576,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371324.634,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371324.652,0,-25,0,1,21.00,1
