MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:07:42 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371648.216,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371648.254,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371648.338,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371648.405,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371648.445,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371648.631,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371648.679,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371648.747,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371648.786,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371648.977,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371649.003,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371649.050,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371649.097,0,-24,0,1,21.00,2
0x000000000000000000006041,1517371649.168,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371649.211,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371649.270,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371649.328,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371649.380,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371649.521,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371649.558,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371649.607,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371649.703,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371649.757,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371649.788,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371649.829,0,-28,0,1,21.00,1
0x000000000000000000006041,1517371649.898,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371649.976,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371650.023,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371650.250,0,-28,0,1,21.00,1
0x000000000000000000006041,1517371650.289,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371650.334,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371650.499,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371650.529,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371650.602,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371650.673,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371650.720,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371650.897,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371650.932,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371650.986,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371651.028,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371651.124,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371651.180,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371651.207,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371651.245,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371651.288,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371651.333,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371651.452,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371651.505,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371651.604,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371651.643,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371651.682,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371651.723,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371651.881,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371651.911,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371651.968,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371652.096,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371652.123,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371652.163,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371652.330,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371652.355,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371652.416,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371652.468,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371652.503,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371652.552,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371652.763,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371652.786,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371652.828,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371652.872,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371652.990,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371653.066,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371653.092,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371653.140,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371653.185,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371653.263,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371653.311,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371653.349,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371653.376,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371653.430,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371653.485,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371653.516,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371653.567,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371653.663,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371653.735,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371653.761,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371653.806,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371653.856,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371654.023,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371654.047,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371654.109,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371654.144,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371654.195,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371654.242,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371654.411,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371654.432,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371654.476,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371654.525,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371654.565,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371654.610,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371654.786,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371654.814,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371654.876,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371654.923,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371654.975,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371655.019,0,-25,0,1,21.00,3
