MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:16:09 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517372157.011,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372157.102,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372157.163,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372157.188,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372157.251,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372157.413,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372157.457,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372157.540,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372157.602,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372157.655,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372157.702,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372157.881,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372157.934,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372157.992,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372158.050,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372158.106,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372158.160,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372158.351,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372158.397,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372158.493,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372158.531,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372158.574,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372158.763,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372158.894,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372158.928,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372158.966,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372159.016,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372159.194,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372159.242,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372159.345,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372159.402,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372159.456,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372159.614,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372159.661,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372159.843,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372159.892,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372160.074,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372160.120,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372160.283,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372160.327,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372160.475,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372160.521,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372160.593,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372160.647,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372160.677,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372160.716,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372160.973,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372161.019,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372161.111,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372161.213,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372161.259,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372161.458,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372161.503,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372161.704,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372161.749,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372161.922,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372161.973,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372162.121,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372162.168,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372162.336,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372162.391,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372162.465,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372162.512,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372162.576,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372162.727,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372162.779,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372162.962,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372163.008,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372163.174,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372163.221,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372163.323,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372163.386,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372163.422,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372163.588,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372163.637,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372163.707,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372163.747,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372163.797,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372163.845,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372163.926,0,-30,0,1,21.00,4
0x000000000000000000006041,1517372164.059,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372164.216,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372164.255,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372164.363,0,-30,0,1,21.00,4
0x000000000000000000006041,1517372164.421,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372164.475,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372164.685,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372164.782,0,-30,0,1,21.00,4
0x000000000000000000006041,1517372164.832,0,-30,0,1,21.00,4
0x000000000000000000006041,1517372164.850,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372164.901,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372164.991,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372165.039,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372165.088,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372165.145,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372165.223,0,-30,0,1,21.00,4
0x000000000000000000006041,1517372165.310,0,-30,0,1,21.00,4
0x000000000000000000006041,1517372165.371,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372165.439,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372165.519,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372165.555,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372165.613,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372165.791,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372165.834,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372165.997,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372166.044,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372166.208,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372166.248,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372166.317,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372166.382,0,-24,0,1,21.00,2
0x000000000000000000006041,1517372166.441,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372166.484,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372166.631,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372166.679,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372166.737,0,-24,0,1,21.00,2
0x000000000000000000006041,1517372166.806,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372166.850,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372166.899,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372167.066,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372157.025,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372157.073,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372157.127,0,-21,0,1,21.00,2
0x000000000000000000006051,1517372157.302,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372157.350,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372157.428,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372157.489,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372157.509,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372157.567,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372157.760,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372157.826,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372157.913,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372157.950,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372157.980,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372158.019,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372158.211,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372158.292,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372158.382,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372158.412,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372158.449,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372158.499,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372158.637,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372158.703,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372158.776,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372158.841,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372158.862,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372158.908,0,-21,0,1,21.00,2
0x000000000000000000006051,1517372159.066,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372159.129,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372159.218,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372159.265,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372159.296,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372159.352,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372159.511,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372159.558,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372159.708,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372159.735,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372159.952,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372160.017,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372160.106,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372160.155,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372160.195,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372160.381,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372160.416,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372160.493,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372160.542,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372160.566,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372160.620,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372160.842,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372160.901,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372160.994,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372161.032,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372161.072,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372161.114,0,-22,0,1,21.00,2
0x000000000000000000006051,1517372161.313,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372161.389,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372161.471,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372161.543,0,-32,0,1,21.00,1
