MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:16:24 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517372172.637,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372172.665,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372172.739,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372172.773,0,-25,0,1,21.00,2
0x000000000000000000006041,1517372172.821,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372172.871,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372173.050,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372173.096,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372173.177,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372173.240,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372173.255,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372173.305,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372173.460,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372173.507,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372173.565,0,-24,0,1,21.00,2
0x000000000000000000006041,1517372173.621,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372173.661,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372173.714,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372173.901,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372173.936,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372173.994,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372174.044,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372174.098,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372174.167,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372174.304,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372174.351,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372174.426,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372174.469,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372174.510,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372174.552,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372174.727,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372174.772,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372174.847,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372174.895,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372174.922,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372174.963,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372175.126,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372175.178,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372175.251,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372175.289,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372175.335,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372175.380,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372175.527,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372175.576,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372175.740,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372175.789,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372175.965,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372176.013,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372176.069,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372176.139,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372176.171,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372176.219,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372176.390,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372176.496,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372176.576,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372176.618,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372176.646,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372176.700,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372176.870,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372176.905,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372176.974,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372177.089,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372177.136,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372177.296,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372177.333,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372177.418,0,-26,0,1,21.00,2
0x000000000000000000006041,1517372177.538,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372177.725,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372177.779,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372177.838,0,-24,0,1,21.00,2
0x000000000000000000006041,1517372177.970,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372178.014,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372178.177,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372178.220,0,-25,0,1,21.00,1
