MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:06:47 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371595.525,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371595.554,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371595.663,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371595.702,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371595.765,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371595.823,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371595.895,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371595.925,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371595.970,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371596.011,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371596.066,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371596.152,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371596.183,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371596.258,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371596.350,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371596.430,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371596.469,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371596.510,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371596.533,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371596.610,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371596.689,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371596.734,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371596.812,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371596.864,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371596.903,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371596.956,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371597.021,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371597.070,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371597.249,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371597.296,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371597.380,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371597.421,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371597.451,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371597.495,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371597.648,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371597.693,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371597.783,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371597.815,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371597.854,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371597.896,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371598.063,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371598.110,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371598.173,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371598.215,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371598.401,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371598.455,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371598.548,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371598.638,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371598.806,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371598.860,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371598.921,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371598.969,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371599.198,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371599.278,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371599.309,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371599.408,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371599.453,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371599.616,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371599.664,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371599.747,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371599.793,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371599.840,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371599.880,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371600.045,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371600.095,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371600.168,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371600.211,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371600.250,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371600.301,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371600.452,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371600.501,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371600.634,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371600.707,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371600.750,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371600.938,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371600.983,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371601.048,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371601.108,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371601.168,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371601.219,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371601.383,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371601.426,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371601.493,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371601.518,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371601.722,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371601.785,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371601.835,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371602.000,0,-27,0,1,21.00,1
0x000000000000000000006041,1517371602.047,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371602.287,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371602.334,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371602.505,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371602.555,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371602.649,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371602.753,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371602.805,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371602.972,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371603.008,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371603.103,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371603.268,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371603.313,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371603.483,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371603.520,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371603.593,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371603.626,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371603.735,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371603.778,0,-23,0,1,21.00,3
0x000000000000000000006041,1517371603.940,0,-26,0,1,21.00,1
