MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:11:34 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371882.357,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371882.390,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371882.560,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371882.607,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371882.766,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371882.795,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371882.883,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371882.937,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371882.999,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371883.190,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371883.228,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371883.285,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371883.332,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371883.476,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371883.517,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371883.604,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371883.663,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371883.714,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371883.805,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371883.876,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371883.913,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371883.999,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371884.065,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371884.110,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371884.188,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371884.263,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371884.304,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371884.343,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371884.407,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371884.548,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371884.566,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371884.618,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371884.677,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371884.724,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371884.779,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371884.807,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371884.850,0,-26,0,1,21.00,3
0x000000000000000000006041,1517371884.889,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371884.953,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371885.003,0,-28,0,1,21.00,4
0x000000000000000000006041,1517371885.064,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371885.101,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371885.149,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371885.191,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371885.214,0,-24,0,1,21.00,3
