MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:12:09 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371918.055,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371918.082,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371918.130,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371918.194,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371918.268,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371918.313,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371918.410,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371918.469,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371918.510,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371918.561,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371918.617,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371918.761,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371918.794,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371918.936,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371918.986,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371919.069,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371919.130,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371919.157,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371919.197,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371919.252,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371919.307,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371919.431,0,-30,0,1,21.00,4
0x000000000000000000006041,1517371919.500,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371919.543,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371919.609,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371919.857,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371919.900,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371919.940,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371919.995,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371920.045,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371920.133,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371920.183,0,-29,0,1,21.00,4
0x000000000000000000006041,1517371920.218,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371920.255,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371920.311,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371920.375,0,-25,0,1,21.00,2
0x000000000000000000006041,1517371920.513,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371920.559,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371920.719,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371920.756,0,-26,0,1,21.00,1
0x000000000000000000006041,1517371920.887,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371920.933,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371921.085,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371921.124,0,-25,0,1,21.00,1
