MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:19:51 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006051,1517372377.128,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372377.163,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372377.214,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372377.326,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372377.388,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372377.436,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372377.512,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372377.555,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372377.650,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372377.694,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372377.727,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372377.780,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372377.969,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372378.021,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372378.201,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372378.254,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372378.450,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372378.516,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372378.595,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372378.684,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372378.723,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372378.782,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372378.825,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372378.861,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372378.918,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372379.099,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372379.144,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372379.227,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372379.261,0,-31,0,1,21.00,1
0x000000000000000000006051,1517372379.397,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372379.425,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372379.494,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372379.521,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372379.677,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372379.733,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372379.905,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372379.966,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372380.046,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372380.082,0,-32,0,1,21.00,1
0x000000000000000000006051,1517372380.145,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372380.307,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372380.352,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372380.445,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372380.500,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372380.547,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372380.604,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372380.677,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372381.018,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372381.076,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372381.193,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372381.258,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372381.335,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372381.436,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372381.494,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372381.559,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372381.629,0,-25,0,1,21.00,2
0x000000000000000000006051,1517372381.681,0,-25,0,1,21.00,2
0x000000000000000000006051,1517372381.735,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372381.795,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372381.821,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372381.879,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372382.095,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372382.150,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372382.204,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372382.280,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372382.340,0,-26,0,1,21.00,2
0x000000000000000000006051,1517372382.450,0,-23,0,1,21.00,4
0x000000000000000000006051,1517372382.499,0,-23,0,1,21.00,4
