MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:13:01 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517371962.655,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371962.708,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371962.769,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371962.812,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371962.872,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371962.930,0,-26,0,1,21.00,4
0x000000000000000000006041,1517371962.985,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371963.032,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371963.161,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371963.198,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371963.246,0,-25,0,1,21.00,3
0x000000000000000000006041,1517371963.294,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371963.354,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371963.403,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371963.481,0,-24,0,1,21.00,1
0x000000000000000000006041,1517371963.535,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371963.608,0,-26,0,1,21.00,2
0x000000000000000000006041,1517371963.670,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371963.727,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371963.787,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371963.821,0,-26,0,1,21.00,4
0x000000000000000000006041,1517371963.901,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371963.944,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371964.139,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371964.169,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371964.224,0,-26,0,1,21.00,4
0x000000000000000000006041,1517371964.268,0,-26,0,1,21.00,4
0x000000000000000000006041,1517371964.334,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371964.378,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371964.519,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371964.570,0,-24,0,1,21.00,3
0x000000000000000000006041,1517371964.630,0,-26,0,1,21.00,4
0x000000000000000000006041,1517371964.680,0,-27,0,1,21.00,4
0x000000000000000000006041,1517371964.737,0,-25,0,1,21.00,1
0x000000000000000000006041,1517371964.764,0,-26,0,1,21.00,1
