MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:21:08 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515655255.522,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655255.582,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655255.653,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655255.806,0,-29,0,3,21.00,3
0x107010349013305354381889,1515655255.846,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655255.933,0,-29,0,3,21.00,3
0x107010349013305354381889,1515655255.979,0,-29,0,3,21.00,3
0x107010349013305354381889,1515655256.027,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655256.282,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655256.331,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655256.377,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655256.543,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655256.848,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655256.904,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655257.007,0,-29,0,3,21.00,3
0x107010349013305354381889,1515655257.048,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655257.100,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655257.254,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655257.288,0,-28,0,3,21.00,3
0x107010349013305354381889,1515655257.380,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655257.565,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655257.592,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655257.644,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655257.709,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655257.765,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655257.829,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655257.997,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655258.039,0,-29,0,3,21.00,3
0x107010349013305354381889,1515655258.109,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655258.317,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655258.333,0,-28,0,3,21.00,3
0x107010349013305354381889,1515655258.414,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655258.460,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655258.624,0,-29,0,3,21.00,3
0x107010349013305354381889,1515655258.698,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655258.780,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655258.981,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655259.029,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655259.069,0,-32,0,3,21.00,4
0x107010349013305354381889,1515655259.244,0,-30,0,3,21.00,3
0x107010349013305354381889,1515655259.368,0,-32,0,4,21.00,4
0x107010349013305354381889,1515655259.431,0,-32,0,4,21.00,4
0x107010349013305354381889,1515655259.633,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655259.728,0,-32,0,4,21.00,4
0x107010349013305354381889,1515655259.907,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655260.171,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655260.234,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655260.322,0,-33,0,4,21.00,4
0x107010349013305354381889,1515655260.423,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655260.492,0,-32,0,4,21.00,4
0x107010349013305354381889,1515655260.548,0,-33,0,4,21.00,4
0x107010349013305354381889,1515655260.653,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655260.710,0,-33,0,4,21.00,4
0x107010349013305354381889,1515655260.899,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655260.942,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655260.996,0,-33,0,4,21.00,4
0x107010349013305354381889,1515655261.027,0,-32,0,4,21.00,4
0x107010349013305354381889,1515655261.412,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655261.735,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655261.851,0,-32,0,4,21.00,4
0x107010349013305354381889,1515655262.043,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655262.103,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655262.195,0,-32,0,4,21.00,4
0x107010349013305354381889,1515655262.406,0,-32,0,4,21.00,4
0x107010349013305354381889,1515655262.610,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655262.798,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655262.861,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655263.048,0,-30,0,4,21.00,3
0x107010349013305354381889,1515655263.140,0,-28,0,1,21.00,3
0x107010349013305354381889,1515655263.201,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655263.260,0,-33,0,1,21.00,4
0x107010349013305354381889,1515655263.319,0,-33,0,1,21.00,4
0x107010349013305354381889,1515655263.385,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655263.428,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655263.737,0,-33,0,1,21.00,4
0x107010349013305354381889,1515655263.768,0,-33,0,1,21.00,4
0x107010349013305354381889,1515655263.964,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655263.986,0,-28,0,1,21.00,3
0x107010349013305354381889,1515655264.071,0,-28,0,1,21.00,3
0x107010349013305354381889,1515655264.118,0,-28,0,1,21.00,3
0x107010349013305354381889,1515655264.352,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655264.370,0,-27,0,1,21.00,3
0x107010349013305354381889,1515655264.449,0,-28,0,1,21.00,3
0x107010349013305354381889,1515655264.518,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655264.583,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655264.635,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655264.686,0,-33,0,1,21.00,4
0x107010349013305354381889,1515655264.729,0,-33,0,1,21.00,4
0x107010349013305354381889,1515655264.781,0,-28,0,1,21.00,3
0x107010349013305354381889,1515655264.859,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655264.938,0,-33,0,1,21.00,4
0x107010349013305354381889,1515655265.032,0,-29,0,1,21.00,3
0x107010349013305354381889,1515655265.050,0,-28,0,1,21.00,3
0x107010349013305354381889,1515655265.144,0,-33,0,1,21.00,4
0x107010349013305354381889,1515655265.343,0,-28,0,1,21.00,3
0x107010449013305354211893,1515655255.531,0,-34,0,3,21.00,3
0x107010449013305354211893,1515655255.572,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655255.827,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655255.923,0,-34,0,3,21.00,3
0x107010449013305354211893,1515655255.992,0,-34,0,3,21.00,3
0x107010449013305354211893,1515655256.805,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655256.998,0,-34,0,3,21.00,3
0x107010449013305354211893,1515655257.272,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655257.311,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655257.794,0,-34,0,3,21.00,3
0x107010449013305354211893,1515655258.008,0,-34,0,3,21.00,3
0x107010449013305354211893,1515655258.051,0,-34,0,3,21.00,3
0x107010449013305354211893,1515655258.329,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655258.600,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655258.657,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655258.946,0,-34,0,3,21.00,3
0x107010449013305354211893,1515655259.234,0,-35,0,3,21.00,3
0x107010449013305354211893,1515655259.328,0,-33,0,4,21.00,3
0x107010449013305354211893,1515655259.614,0,-34,0,4,21.00,3
0x107010449013305354211893,1515655259.865,0,-34,0,4,21.00,3
0x107010449013305354211893,1515655259.924,0,-33,0,4,21.00,3
0x107010449013305354211893,1515655260.619,0,-33,0,4,21.00,3
0x107010449013305354211893,1515655261.099,0,-33,0,4,21.00,3
0x107010449013305354211893,1515655261.785,0,-34,0,4,21.00,3
0x107010145263633097661865,1515655255.541,0,-34,0,3,21.00,3
0x107010145263633097661865,1515655256.233,0,-34,0,3,21.00,3
0x107010145263633097661865,1515655256.292,0,-34,0,3,21.00,3
0x107010145263633097661865,1515655256.782,0,-34,0,3,21.00,3
0x107010145263633097661865,1515655256.980,0,-34,0,3,21.00,3
0x107010145263633097661865,1515655257.555,0,-34,0,3,21.00,3
0x107010145263633097661865,1515655259.304,0,-35,0,4,21.00,3
0x107010145263633097661865,1515655260.909,0,-34,0,4,21.00,3
0x107010145263633097661865,1515655262.062,0,-35,0,4,21.00,3
0x107010145263633097661865,1515655263.954,0,-34,0,1,21.00,3
0x107010145263633097661865,1515655263.997,0,-34,0,1,21.00,3
