MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:04:30 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006061,1515654257.083,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654257.116,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654257.175,0,-17,0,3,21.00,2
0x000000000000000000006061,1515654257.211,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654257.256,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654257.306,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654257.360,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654257.401,0,-18,0,3,21.00,4
0x000000000000000000006061,1515654257.450,0,-22,0,3,21.00,1
0x000000000000000000006061,1515654257.500,0,-22,0,3,21.00,1
0x000000000000000000006061,1515654257.554,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654257.593,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654257.637,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654257.687,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654257.745,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654257.780,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654257.842,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654257.891,0,-22,0,3,21.00,1
0x000000000000000000006061,1515654257.944,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654257.984,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654258.029,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654258.068,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654258.130,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654258.170,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654258.214,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654258.259,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654258.315,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654258.348,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654258.395,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654258.444,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654258.501,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654258.547,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654258.606,0,-22,0,3,21.00,1
0x000000000000000000006061,1515654258.657,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654258.714,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654258.750,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654258.799,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654258.840,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654258.894,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654258.936,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654258.998,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654259.052,0,-22,0,3,21.00,1
0x000000000000000000006061,1515654259.109,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654259.143,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654259.191,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654259.243,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654259.287,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654259.324,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654259.381,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654259.427,0,-22,0,3,21.00,1
0x000000000000000000006061,1515654259.482,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654259.520,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654259.568,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654259.615,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654259.665,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654259.711,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654259.766,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654259.815,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654259.877,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654259.912,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654259.956,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654259.996,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654260.036,0,-18,0,3,21.00,4
0x000000000000000000006061,1515654260.074,0,-18,0,3,21.00,4
0x000000000000000000006061,1515654260.131,0,-22,0,3,21.00,1
0x000000000000000000006061,1515654260.175,0,-22,0,3,21.00,1
0x000000000000000000006061,1515654260.222,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654260.258,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654260.301,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654260.353,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654260.406,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654260.451,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654260.508,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654260.560,0,-23,0,3,21.00,1
0x000000000000000000006061,1515654260.612,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654260.652,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654260.697,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654260.766,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654260.822,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654260.861,0,-17,0,3,21.00,4
0x000000000000000000006061,1515654260.947,0,-23,0,4,21.00,1
0x000000000000000000006061,1515654260.990,0,-23,0,4,21.00,1
0x000000000000000000006061,1515654261.048,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654261.080,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654261.129,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654261.157,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654261.192,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654261.233,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654261.290,0,-23,0,4,21.00,1
0x000000000000000000006061,1515654261.334,0,-23,0,4,21.00,1
0x000000000000000000006061,1515654261.395,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654261.432,0,-17,0,4,21.00,2
0x000000000000000000006061,1515654261.477,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654261.524,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654261.580,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654261.616,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654261.676,0,-23,0,4,21.00,1
0x000000000000000000006061,1515654261.722,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654261.767,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654261.805,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654261.852,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654261.899,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654261.963,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654261.999,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654262.052,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654262.098,0,-23,0,4,21.00,1
0x000000000000000000006061,1515654262.151,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654262.190,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654262.238,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654262.279,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654262.336,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654262.388,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654262.467,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654262.519,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654262.576,0,-17,0,4,21.00,2
0x000000000000000000006061,1515654262.615,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654262.669,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654262.709,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654262.770,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654262.809,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654262.866,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654262.918,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654262.972,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654263.011,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654263.057,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654263.108,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654263.169,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654263.213,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654263.273,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654263.317,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654263.378,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654263.416,0,-17,0,4,21.00,2
0x000000000000000000006061,1515654263.465,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654263.503,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654263.557,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654263.599,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654263.653,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654263.697,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654263.751,0,-17,0,4,21.00,2
0x000000000000000000006061,1515654263.792,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654263.837,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654263.890,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654263.942,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654263.996,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654264.050,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654264.110,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654264.163,0,-17,0,4,21.00,2
0x000000000000000000006061,1515654264.201,0,-17,0,4,21.00,2
0x000000000000000000006061,1515654264.245,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654264.290,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654264.346,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654264.384,0,-17,0,4,21.00,4
0x000000000000000000006061,1515654264.444,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654264.485,0,-22,0,4,21.00,1
0x000000000000000000006061,1515654264.537,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654264.575,0,-16,0,4,21.00,2
0x000000000000000000006061,1515654264.621,0,-26,0,4,21.00,3
0x000000000000000000006061,1515654264.666,0,-25,0,4,21.00,3
0x000000000000000000006061,1515654264.746,0,-16,0,1,21.00,4
0x000000000000000000006061,1515654264.785,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654264.844,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654264.895,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654264.948,0,-16,0,1,21.00,2
0x000000000000000000006061,1515654264.975,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654265.008,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654265.052,0,-25,0,1,21.00,3
0x000000000000000000006061,1515654265.100,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654265.138,0,-16,0,1,21.00,4
0x000000000000000000006061,1515654265.198,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654265.290,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654265.347,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654265.372,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654265.413,0,-25,0,1,21.00,3
0x000000000000000000006061,1515654265.459,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654265.508,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654265.567,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654265.626,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654265.660,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654265.698,0,-16,0,1,21.00,2
0x000000000000000000006061,1515654265.725,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654265.757,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654265.814,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654265.863,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654265.912,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654265.968,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654266.030,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654266.086,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654266.111,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654266.149,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654266.189,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654266.248,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654266.310,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654266.363,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654266.418,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654266.473,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654266.499,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654266.538,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654266.583,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654266.642,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654266.684,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654266.739,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654266.786,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654266.836,0,-16,0,1,21.00,2
0x000000000000000000006061,1515654266.862,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654266.900,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654266.939,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654266.996,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654267.021,0,-16,0,1,21.00,4
0x000000000000000000006061,1515654267.067,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654267.114,0,-23,0,1,21.00,1
0x000000000000000000006061,1515654267.162,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654267.189,0,-17,0,1,21.00,2
0x000000000000000000006061,1515654267.224,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654267.267,0,-24,0,1,21.00,3
0x000000000000000000006061,1515654267.324,0,-17,0,1,21.00,4
0x000000000000000000006061,1515654267.365,0,-17,0,1,21.00,4
0x107010349013305354381888,1515654257.099,0,-32,0,3,21.00,1
0x107010349013305354381888,1515654257.138,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654257.494,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654257.857,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654257.910,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654258.233,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654258.299,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654258.476,0,-34,0,3,21.00,3
0x107010349013305354381888,1515654258.530,0,-33,0,3,21.00,4
0x107010349013305354381888,1515654258.580,0,-33,0,3,21.00,4
0x107010349013305354381888,1515654258.632,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654258.686,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654258.812,0,-34,0,3,21.00,3
0x107010349013305354381888,1515654258.874,0,-34,0,3,21.00,3
0x107010349013305354381888,1515654258.909,0,-33,0,3,21.00,4
0x107010349013305354381888,1515654258.954,0,-33,0,3,21.00,4
0x107010349013305354381888,1515654259.014,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654259.073,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654259.221,0,-34,0,3,21.00,3
0x107010349013305354381888,1515654259.259,0,-34,0,3,21.00,3
0x107010349013305354381888,1515654259.299,0,-33,0,3,21.00,4
0x107010349013305354381888,1515654259.357,0,-33,0,3,21.00,4
0x107010349013305354381888,1515654259.424,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654259.782,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654259.839,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654260.160,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654260.190,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654260.541,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654260.575,0,-33,0,3,21.00,1
0x107010349013305354381888,1515654260.960,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654261.007,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654261.219,0,-33,0,4,21.00,4
0x107010349013305354381888,1515654261.262,0,-33,0,4,21.00,4
0x107010349013305354381888,1515654261.323,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654261.347,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654261.687,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654261.737,0,-32,0,4,21.00,1
0x107010349013305354381888,1515654262.067,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654262.115,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654262.361,0,-34,0,4,21.00,4
0x107010349013305354381888,1515654262.411,0,-34,0,4,21.00,4
0x107010349013305354381888,1515654262.492,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654262.544,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654262.877,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654262.952,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654263.681,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654263.713,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654264.091,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654264.138,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654264.466,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654264.498,0,-33,0,4,21.00,1
0x107010349013305354381888,1515654264.758,0,-32,0,1,21.00,4
0x107010349013305354381888,1515654264.806,0,-32,0,1,21.00,4
0x107010349013305354381888,1515654265.045,0,-32,0,1,21.00,3
0x107010349013305354381888,1515654265.112,0,-32,0,1,21.00,4
0x107010349013305354381888,1515654265.152,0,-32,0,1,21.00,4
0x107010349013305354381888,1515654266.172,0,-33,0,1,21.00,3
0x107010349013305354381888,1515654266.209,0,-33,0,1,21.00,3
0x107010349013305354381888,1515654266.550,0,-33,0,1,21.00,3
0x107010349013305354381888,1515654266.598,0,-33,0,1,21.00,3
0x107010349013305354381888,1515654266.658,0,-32,0,1,21.00,4
0x107010349013305354381888,1515654266.713,0,-32,0,1,21.00,4
0x107010349013305354381888,1515654267.238,0,-33,0,1,21.00,3
0x107010349013305354381888,1515654267.285,0,-33,0,1,21.00,3
0x107010349013305354381888,1515654267.335,0,-33,0,1,21.00,4
0x107010349013305354381888,1515654267.405,0,-32,0,1,21.00,4
0x00b07a139010bc913000c7d3,1515654257.148,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654257.465,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654257.539,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654257.931,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654258.287,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654258.619,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654258.674,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654259.045,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654259.412,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654259.444,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654259.809,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654260.169,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654260.531,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654260.586,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515654260.975,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654261.028,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654261.301,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654261.356,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654261.716,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654262.082,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654262.127,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654262.478,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654262.530,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654262.890,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654262.940,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654263.290,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654263.330,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654263.671,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654263.728,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654264.077,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654264.126,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654264.478,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515654264.856,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654264.911,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654265.224,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654265.318,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654265.980,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654266.044,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654266.377,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654266.449,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654266.778,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654267.090,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515654267.139,0,-30,0,1,21.00,1
0x107010145263633097661861,1515654257.200,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654257.226,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654257.573,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654257.618,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654257.960,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654258.001,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654258.331,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654258.376,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654258.728,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654258.770,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654259.124,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654259.161,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654259.499,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654259.540,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654259.891,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654259.924,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654260.234,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654260.277,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654260.634,0,-34,0,3,21.00,2
0x107010145263633097661861,1515654260.667,0,-33,0,3,21.00,2
0x107010145263633097661861,1515654261.059,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654261.099,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654261.419,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654261.447,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654261.794,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654261.818,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654262.173,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654262.207,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654262.601,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654262.640,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654262.995,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654263.037,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654263.401,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654263.440,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654263.773,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654263.810,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654264.179,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654264.220,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654264.553,0,-33,0,4,21.00,2
0x107010145263633097661861,1515654264.594,0,-33,0,4,21.00,2
0x107010249722621700351874,1515654257.254,0,-30,0,3,21.00,3
0x107010249722621700351874,1515654257.301,0,-30,0,3,21.00,3
0x107010249722621700351874,1515654257.638,0,-30,0,3,21.00,3
0x107010249722621700351874,1515654257.689,0,-30,0,3,21.00,3
0x107010249722621700351874,1515654258.042,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654258.081,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654259.234,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654259.597,0,-32,0,3,21.00,3
0x107010249722621700351874,1515654259.641,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654259.992,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654260.344,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654260.721,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654260.786,0,-31,0,3,21.00,3
0x107010249722621700351874,1515654261.519,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654261.882,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654262.310,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654263.881,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654264.282,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654264.662,0,-32,0,4,21.00,3
0x107010249722621700351874,1515654265.035,0,-31,0,1,21.00,3
0x107010249722621700351874,1515654265.049,0,-30,0,1,21.00,3
0x107010249722621700351874,1515654265.431,0,-31,0,1,21.00,3
0x107010249722621700351874,1515654265.462,0,-30,0,1,21.00,3
0x107010249722621700351874,1515654265.836,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654266.184,0,-31,0,1,21.00,3
0x107010249722621700351874,1515654266.563,0,-32,0,1,21.00,3
0x107010249722621700351874,1515654266.931,0,-31,0,1,21.00,3
0x107010249722621700351874,1515654267.262,0,-31,0,1,21.00,3
0x107010145263633097661865,1515654257.274,0,-35,0,3,21.00,3
0x107010145263633097661865,1515654257.323,0,-34,0,3,21.00,3
0x107010145263633097661865,1515654257.395,0,-34,0,3,21.00,4
0x107010145263633097661865,1515654258.517,0,-34,0,3,21.00,4
