MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:05:01 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006061,1515654273.952,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654274.004,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654274.064,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654274.098,0,-17,0,3,21.00,2
0x000000000000000000006061,1515654274.145,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654274.185,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654274.241,0,-16,0,3,21.00,4
0x000000000000000000006061,1515654274.291,0,-16,0,3,21.00,4
0x000000000000000000006061,1515654274.336,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654274.377,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654274.437,0,-17,0,3,21.00,2
0x000000000000000000006061,1515654274.475,0,-17,0,3,21.00,2
0x000000000000000000006061,1515654274.524,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654274.567,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654274.622,0,-16,0,3,21.00,4
0x000000000000000000006061,1515654274.666,0,-16,0,3,21.00,4
0x000000000000000000006061,1515654274.722,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654274.773,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654274.824,0,-17,0,3,21.00,2
0x000000000000000000006061,1515654274.864,0,-16,0,3,21.00,2
0x000000000000000000006061,1515654274.909,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654274.957,0,-25,0,3,21.00,3
0x000000000000000000006061,1515654275.017,0,-16,0,3,21.00,4
0x000000000000000000006061,1515654275.065,0,-16,0,3,21.00,4
0x000000000000000000006061,1515654275.124,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654275.164,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654275.218,0,-17,0,3,21.00,2
0x000000000000000000006061,1515654275.258,0,-17,0,3,21.00,2
0x000000000000000000006061,1515654275.298,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654275.340,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654275.390,0,-16,0,3,21.00,4
0x000000000000000000006061,1515654275.429,0,-16,0,3,21.00,4
0x000000000000000000006061,1515654275.485,0,-20,0,3,21.00,1
0x000000000000000000006061,1515654275.532,0,-19,0,3,21.00,1
