MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:11:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006061,1515654680.122,0,-26,0,3,21.00,1
0x000000000000000000006061,1515654680.191,0,-28,0,3,21.00,1
0x000000000000000000006061,1515654680.216,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654680.264,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654680.316,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654680.358,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654680.408,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654680.459,0,-25,0,3,21.00,4
0x000000000000000000006061,1515654680.523,0,-28,0,3,21.00,1
0x000000000000000000006061,1515654680.571,0,-28,0,3,21.00,1
0x000000000000000000006061,1515654680.611,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654680.660,0,-23,0,3,21.00,2
0x000000000000000000006061,1515654680.731,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654680.759,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654680.795,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654680.839,0,-27,0,3,21.00,4
0x000000000000000000006061,1515654680.922,0,-28,0,3,21.00,1
0x000000000000000000006061,1515654680.951,0,-28,0,3,21.00,1
0x000000000000000000006061,1515654681.007,0,-23,0,3,21.00,2
0x000000000000000000006061,1515654681.043,0,-21,0,3,21.00,2
0x000000000000000000006061,1515654681.085,0,-27,0,3,21.00,3
0x000000000000000000006061,1515654681.134,0,-27,0,3,21.00,3
0x000000000000000000006061,1515654681.184,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654681.227,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654681.324,0,-28,0,3,21.00,1
0x000000000000000000006061,1515654681.428,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654681.488,0,-27,0,3,21.00,3
0x000000000000000000006061,1515654681.526,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654681.597,0,-27,0,3,21.00,4
0x000000000000000000006061,1515654681.647,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654681.711,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654681.759,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654681.820,0,-27,0,3,21.00,3
0x000000000000000000006061,1515654681.860,0,-27,0,3,21.00,3
0x000000000000000000006061,1515654681.912,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654681.950,0,-27,0,3,21.00,4
0x000000000000000000006061,1515654682.047,0,-28,0,3,21.00,1
0x000000000000000000006061,1515654682.109,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654682.263,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654682.317,0,-27,0,3,21.00,4
0x000000000000000000006061,1515654682.363,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654682.454,0,-28,0,3,21.00,1
0x000000000000000000006061,1515654682.513,0,-23,0,3,21.00,2
0x000000000000000000006061,1515654682.559,0,-23,0,3,21.00,2
0x000000000000000000006061,1515654682.613,0,-26,0,3,21.00,3
0x000000000000000000006061,1515654682.660,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654682.711,0,-27,0,3,21.00,4
0x000000000000000000006061,1515654682.764,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654683.017,0,-27,0,3,21.00,3
0x000000000000000000006061,1515654683.062,0,-28,0,3,21.00,3
0x000000000000000000006061,1515654683.115,0,-27,0,3,21.00,4
0x000000000000000000006061,1515654683.169,0,-26,0,3,21.00,4
0x000000000000000000006061,1515654683.237,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654683.286,0,-22,0,3,21.00,2
0x000000000000000000006061,1515654683.345,0,-27,0,3,21.00,3
0x000000000000000000006061,1515654683.389,0,-28,0,3,21.00,3
