MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:13:58 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249018591604251877,1515654824.604,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654824.658,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654825.008,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654825.995,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654826.334,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654826.371,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654826.608,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654826.654,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654826.992,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654827.034,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654827.357,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654827.403,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654827.732,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654827.784,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654828.135,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654828.190,0,-32,0,3,21.00,2
0x107010249018591604251877,1515654829.893,0,-32,0,4,21.00,2
0x107010249018591604251877,1515654829.939,0,-32,0,4,21.00,2
0x107010249018591604251877,1515654830.262,0,-32,0,4,21.00,2
0x107010249018591604251877,1515654830.316,0,-32,0,4,21.00,2
0x107010249018591604251877,1515654830.867,0,-32,0,4,21.00,2
0x107010249018591604251877,1515654830.899,0,-32,0,4,21.00,2
0x107010249018591604251877,1515654831.589,0,-32,0,4,21.00,2
0x107010249018591604251877,1515654831.643,0,-32,0,4,21.00,2
0x000000000000000000006061,1515654824.621,0,-26,0,3,21.00,2
0x000000000000000000006061,1515654824.669,0,-26,0,3,21.00,2
0x000000000000000000006061,1515654824.727,0,-30,0,3,21.00,3
0x000000000000000000006061,1515654824.783,0,-22,0,3,21.00,4
0x000000000000000000006061,1515654824.833,0,-23,0,3,21.00,4
0x000000000000000000006061,1515654824.907,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654825.048,0,-25,0,3,21.00,2
0x000000000000000000006061,1515654825.171,0,-24,0,3,21.00,4
0x000000000000000000006061,1515654825.219,0,-24,0,3,21.00,4
0x000000000000000000006061,1515654825.303,0,-25,0,3,21.00,2
0x000000000000000000006061,1515654825.333,0,-25,0,3,21.00,2
0x000000000000000000006061,1515654825.405,0,-31,0,3,21.00,3
0x000000000000000000006061,1515654825.465,0,-23,0,3,21.00,4
0x000000000000000000006061,1515654825.513,0,-23,0,3,21.00,4
0x000000000000000000006061,1515654825.590,0,-30,0,3,21.00,1
0x000000000000000000006061,1515654825.694,0,-25,0,3,21.00,2
0x000000000000000000006061,1515654825.740,0,-31,0,3,21.00,3
