MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 3:51:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211896,1515653442.282,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653442.337,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653443.164,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653443.207,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653444.105,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653444.161,0,-32,0,3,21.00,3
0x107010449013305354211896,1515653444.428,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653444.630,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653444.670,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653444.856,0,-33,0,3,21.00,3
0x107010449013305354211896,1515653444.899,0,-32,0,3,21.00,3
0x107010449013305354211896,1515653445.069,0,-32,0,3,21.00,3
0x107010449013305354211896,1515653445.116,0,-32,0,3,21.00,3
0x107010449013305354211896,1515653445.488,0,-32,0,3,21.00,3
0x107010449013305354211896,1515653445.532,0,-32,0,3,21.00,3
0x107010449013305354211896,1515653445.800,0,-32,0,3,21.00,3
0x107010449013305354211896,1515653445.842,0,-32,0,3,21.00,3
0x107010449013305354211896,1515653446.141,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653446.170,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653446.531,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653446.581,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653447.000,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653447.070,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653447.258,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653447.946,0,-33,0,4,21.00,3
0x107010449013305354211896,1515653448.017,0,-33,0,4,21.00,3
0x107010449013305354211896,1515653448.204,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653449.238,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653449.268,0,-32,0,4,21.00,3
0x107010449013305354211896,1515653449.652,0,-33,0,4,21.00,3
0x107010449013305354211896,1515653449.691,0,-33,0,4,21.00,3
0x107010449013305354211896,1515653449.876,0,-33,0,1,21.00,3
0x107010449013305354211896,1515653449.926,0,-33,0,1,21.00,3
0x107010449013305354211896,1515653450.910,0,-33,0,1,21.00,3
0x107010449013305354211896,1515653451.305,0,-33,0,1,21.00,3
0x107010449013305354211896,1515653451.344,0,-33,0,1,21.00,3
0x107010449013305354211896,1515653451.515,0,-33,0,1,21.00,3
0x107010449013305354211896,1515653451.559,0,-33,0,1,21.00,3
0x107010449013305354211896,1515653451.985,0,-33,0,1,21.00,3
0x107010449013305354211896,1515653452.021,0,-33,0,1,21.00,3
0x107010349013305354381889,1515653442.293,0,-30,0,3,21.00,3
0x107010349013305354381889,1515653442.317,0,-29,0,3,21.00,3
0x107010349013305354381889,1515653442.618,0,-29,0,3,21.00,3
0x107010349013305354381889,1515653442.660,0,-30,0,3,21.00,3
0x107010349013305354381889,1515653442.924,0,-29,0,3,21.00,3
0x107010349013305354381889,1515653442.968,0,-29,0,3,21.00,3
0x107010349013305354381889,1515653443.135,0,-30,0,3,21.00,3
0x107010349013305354381889,1515653443.182,0,-29,0,3,21.00,3
0x107010349013305354381889,1515653443.351,0,-30,0,3,21.00,3
0x107010349013305354381889,1515653443.396,0,-30,0,3,21.00,3
0x107010349013305354381889,1515653443.476,0,-34,0,3,21.00,4
0x107010349013305354381889,1515653443.519,0,-33,0,3,21.00,4
0x107010349013305354381889,1515653443.589,0,-30,0,3,21.00,3
