MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:27:13 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006061,1515655620.990,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655621.029,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655621.080,0,-21,0,3,21.00,2
0x000000000000000000006061,1515655621.128,0,-21,0,3,21.00,2
0x000000000000000000006061,1515655621.299,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655621.345,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655621.404,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655621.450,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655621.524,0,-21,0,3,21.00,2
0x000000000000000000006061,1515655621.572,0,-21,0,3,21.00,2
0x000000000000000000006061,1515655621.725,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655621.772,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655621.832,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655621.914,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655621.964,0,-21,0,3,21.00,2
0x000000000000000000006061,1515655622.004,0,-22,0,3,21.00,2
0x000000000000000000006061,1515655622.170,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655622.213,0,-26,0,3,21.00,4
0x000000000000000000006061,1515655622.261,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655622.331,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655622.388,0,-22,0,3,21.00,2
0x000000000000000000006061,1515655622.423,0,-21,0,3,21.00,2
0x000000000000000000006061,1515655622.566,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655622.613,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655622.671,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655622.717,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655622.779,0,-22,0,3,21.00,2
0x000000000000000000006061,1515655622.825,0,-21,0,3,21.00,2
0x000000000000000000006061,1515655622.989,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655623.028,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655623.075,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655623.120,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655623.175,0,-22,0,3,21.00,2
0x000000000000000000006061,1515655623.227,0,-22,0,3,21.00,2
0x000000000000000000006061,1515655623.393,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655623.436,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655623.502,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655623.541,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655623.600,0,-22,0,3,21.00,2
0x000000000000000000006061,1515655623.650,0,-22,0,3,21.00,2
0x000000000000000000006061,1515655623.802,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655623.846,0,-27,0,3,21.00,4
0x000000000000000000006061,1515655623.906,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655623.947,0,-24,0,3,21.00,1
0x000000000000000000006061,1515655624.003,0,-22,0,3,21.00,2
