MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:38:44 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x110010349835865102614942,1517373513.389,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373513.445,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373513.624,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373513.682,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373513.924,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373514.128,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373514.666,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373515.087,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373515.116,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373515.306,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373515.595,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373515.781,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373515.849,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373516.052,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373516.717,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373516.772,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373516.951,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373517.238,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373517.290,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373517.763,0,-32,0,1,21.00,3
0x110010349835865102614942,1517373518.043,0,-32,0,1,21.00,3
0x110010349835865102614942,1517373518.244,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373518.413,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373518.473,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373518.679,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373518.843,0,-32,0,1,21.00,3
0x110010349835865102614942,1517373518.894,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373519.080,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373519.281,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373519.316,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373519.390,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373519.569,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373519.625,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373519.943,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373520.069,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373520.158,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373520.246,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373520.462,0,-32,0,1,21.00,3
0x110010349835865102614942,1517373520.524,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373520.695,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373520.734,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373520.795,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373520.937,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373520.978,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373521.299,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373521.372,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373521.411,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373521.488,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373521.754,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373521.905,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373522.074,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373522.197,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373522.385,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373522.563,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373522.609,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373522.785,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373522.816,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373522.868,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373523.045,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373523.148,0,-34,0,1,21.00,4
0x107010249722621700351874,1517373513.400,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373513.435,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373513.637,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373513.855,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373513.898,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373514.089,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373514.859,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373514.893,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373515.098,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373515.284,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373515.350,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373515.572,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373515.637,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373515.824,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.017,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.223,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.256,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.499,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.540,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.727,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.759,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.922,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373516.987,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373517.226,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373517.273,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373517.566,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373517.774,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373517.809,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373517.994,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373518.017,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373518.197,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373518.231,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373518.398,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373518.453,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373518.631,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373518.667,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373518.859,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373519.060,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373519.116,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373519.269,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373519.615,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373519.789,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373519.848,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373520.045,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373520.232,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373520.284,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373520.635,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373520.705,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373520.968,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373521.276,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373521.542,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373521.697,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373521.763,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373521.979,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373522.623,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373523.017,0,-31,0,1,21.00,3
0x107010349013305354381890,1517373513.412,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373513.609,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373513.646,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373513.836,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373513.881,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373514.049,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373514.092,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373514.284,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373514.315,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373514.640,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373514.691,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373514.834,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373514.908,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373515.297,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373515.311,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373515.553,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373515.600,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373515.793,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373515.814,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373516.039,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373516.213,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373516.239,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373516.520,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373516.909,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373517.211,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373517.256,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373517.527,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373517.586,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373517.749,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373517.830,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373518.185,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373518.255,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373518.434,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373518.606,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373518.646,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373518.817,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373518.866,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373519.035,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373519.088,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373519.258,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373519.337,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373519.602,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373519.768,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373519.813,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373520.002,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373520.034,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373520.204,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373520.274,0,-29,0,1,21.00,3
