MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:39:18 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x108010149872360088493236,1517373543.632,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373543.677,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373544.123,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373544.174,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373544.598,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373544.775,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373544.976,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373545.038,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373545.255,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373545.436,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373545.634,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373546.266,0,-32,0,1,21.00,4
0x108010149872360088493236,1517373546.317,0,-32,0,1,21.00,4
0x108010149872360088493236,1517373546.508,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373546.982,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373547.044,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373547.262,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373547.536,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373547.906,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373547.975,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373548.411,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373548.824,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373549.441,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373549.853,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373549.897,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373550.090,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373550.907,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373551.131,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373551.592,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373551.649,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373551.881,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373552.565,0,-31,0,1,21.00,4
0x108010149872360088493236,1517373552.771,0,-31,0,1,21.00,4
