MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:28:30 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006071,1517372897.515,0,-25,0,1,21.00,2
0x000000000000000000006071,1517372897.671,0,-29,0,1,21.00,3
0x000000000000000000006071,1517372897.699,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372897.751,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372897.830,0,-25,0,1,21.00,2
0x000000000000000000006071,1517372897.889,0,-25,0,1,21.00,2
0x000000000000000000006071,1517372897.920,0,-28,0,1,21.00,3
0x000000000000000000006071,1517372897.994,0,-29,0,1,21.00,3
0x000000000000000000006071,1517372898.019,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372898.073,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372898.144,0,-32,0,1,21.00,1
0x000000000000000000006071,1517372898.180,0,-32,0,1,21.00,1
0x000000000000000000006071,1517372898.245,0,-25,0,1,21.00,2
0x000000000000000000006071,1517372898.354,0,-29,0,1,21.00,3
0x000000000000000000006071,1517372898.384,0,-29,0,1,21.00,3
0x000000000000000000006071,1517372898.426,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372898.468,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372898.552,0,-25,0,1,21.00,2
0x000000000000000000006071,1517372898.620,0,-25,0,1,21.00,2
0x000000000000000000006071,1517372898.794,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372898.886,0,-32,0,1,21.00,1
0x000000000000000000006071,1517372898.928,0,-32,0,1,21.00,1
0x000000000000000000006071,1517372899.090,0,-29,0,1,21.00,3
0x000000000000000000006071,1517372899.148,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372899.197,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372899.301,0,-25,0,1,21.00,2
0x000000000000000000006071,1517372899.362,0,-28,0,1,21.00,3
0x000000000000000000006071,1517372899.448,0,-29,0,1,21.00,3
0x000000000000000000006071,1517372899.519,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372899.593,0,-32,0,1,21.00,1
0x000000000000000000006071,1517372899.627,0,-32,0,1,21.00,1
