MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:32:26 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006191,1517373134.227,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373134.277,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373134.329,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373134.374,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373134.446,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373134.505,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373134.539,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373134.591,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373134.701,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373134.745,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373134.793,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373134.833,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373135.003,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373135.062,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373135.463,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373135.541,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373135.712,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373135.760,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373135.879,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373135.935,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373135.982,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373136.080,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373136.140,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373136.166,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373136.209,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373136.401,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373136.617,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373136.683,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373136.797,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373137.017,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373137.073,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373137.345,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373137.527,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373137.592,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373137.665,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373137.857,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373137.929,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373138.114,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373138.207,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373138.266,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373138.325,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373138.443,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373138.500,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373138.575,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373138.711,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373138.923,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373138.975,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373139.041,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373139.092,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373139.168,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373139.220,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373139.336,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373139.452,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373139.572,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373139.662,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373139.730,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373139.799,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373139.906,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373140.105,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373140.254,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373140.339,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373140.411,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373140.455,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373140.556,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373140.599,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373140.649,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373140.703,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373140.874,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373140.913,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373140.954,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373141.008,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373141.109,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373141.252,0,-30,0,1,21.00,4
