MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:40:13 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006071,1517373592.570,0,-30,0,1,21.00,3
0x000000000000000000006071,1517373592.616,0,-30,0,1,21.00,3
0x000000000000000000006071,1517373592.650,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373592.696,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373592.770,0,-31,0,1,21.00,2
0x000000000000000000006071,1517373592.805,0,-32,0,1,21.00,2
0x000000000000000000006071,1517373592.858,0,-30,0,1,21.00,3
0x000000000000000000006071,1517373592.915,0,-30,0,1,21.00,3
0x000000000000000000006071,1517373592.939,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373592.976,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373593.129,0,-31,0,1,21.00,2
0x000000000000000000006071,1517373593.164,0,-31,0,1,21.00,2
0x000000000000000000006071,1517373593.309,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373593.359,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373593.461,0,-31,0,1,21.00,3
0x000000000000000000006071,1517373593.570,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373593.805,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373593.862,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373594.037,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373594.086,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373594.174,0,-31,0,1,21.00,3
0x000000000000000000006071,1517373594.217,0,-30,0,1,21.00,3
0x000000000000000000006071,1517373594.250,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373594.300,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373594.394,0,-31,0,1,21.00,3
0x000000000000000000006071,1517373594.466,0,-31,0,1,21.00,3
0x000000000000000000006071,1517373594.531,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373594.691,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373594.746,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373594.862,0,-31,0,1,21.00,3
0x000000000000000000006071,1517373594.965,0,-26,0,1,21.00,4
0x000000000000000000006071,1517373595.211,0,-26,0,1,21.00,4
