MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:41:20 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006071,1517373668.027,0,-34,0,1,21.00,3
0x000000000000000000006071,1517373668.144,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373668.233,0,-27,0,1,21.00,2
0x000000000000000000006071,1517373668.263,0,-27,0,1,21.00,2
0x000000000000000000006071,1517373668.341,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373668.405,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373668.478,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373668.652,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373668.715,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373668.935,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373668.986,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373669.142,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373669.187,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373669.289,0,-27,0,1,21.00,2
0x000000000000000000006071,1517373669.319,0,-27,0,1,21.00,2
0x000000000000000000006071,1517373669.388,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373669.432,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373669.460,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373669.516,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373669.631,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373669.702,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373669.753,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373669.921,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373669.965,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373670.193,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373670.244,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373670.324,0,-27,0,1,21.00,2
0x000000000000000000006071,1517373670.387,0,-27,0,1,21.00,2
0x000000000000000000006071,1517373670.535,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373670.598,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373670.781,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373670.839,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373670.932,0,-27,0,1,21.00,2
0x000000000000000000006071,1517373670.997,0,-27,0,1,21.00,2
0x000000000000000000006071,1517373671.139,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373671.187,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373671.339,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373671.404,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373671.463,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373671.635,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373671.684,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373671.979,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373672.025,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373672.050,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373672.109,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373672.211,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373672.270,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373672.321,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373672.406,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373672.444,0,-33,0,1,21.00,3
0x000000000000000000006071,1517373672.486,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373672.541,0,-27,0,1,21.00,4
0x000000000000000000006071,1517373672.683,0,-27,0,1,21.00,2
