MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:33:59 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006191,1517373217.350,0,-30,0,1,21.00,3
0x000000000000000000006191,1517373217.404,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373217.422,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373217.451,0,-28,0,1,21.00,4
0x000000000000000000006191,1517373217.665,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373217.764,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373217.810,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373217.856,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373217.918,0,-28,0,1,21.00,4
0x000000000000000000006191,1517373218.033,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373218.078,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373218.105,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373218.148,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373218.249,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373218.278,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373218.362,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373218.449,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373218.642,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373218.802,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373218.991,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373219.063,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373219.435,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373219.626,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373219.893,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373220.089,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373220.127,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373220.309,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373220.340,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373220.724,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373220.777,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373221.254,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373221.582,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373221.633,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373222.017,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373222.265,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373222.312,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373222.494,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373222.536,0,-28,0,1,21.00,4
0x000000000000000000006191,1517373222.713,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373222.762,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373223.097,0,-30,0,1,21.00,2
0x000000000000000000006191,1517373223.136,0,-30,0,1,21.00,2
0x000000000000000000006191,1517373223.276,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373223.324,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373223.499,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373223.546,0,-31,0,1,21.00,4
0x000000000000000000006191,1517373223.726,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373223.770,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373224.163,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373224.213,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373224.389,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373224.438,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373224.541,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373224.575,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373224.678,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373224.764,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373224.786,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373224.880,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373224.939,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373225.014,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373225.120,0,-31,0,1,21.00,3
0x000000000000000000006191,1517373225.232,0,-28,0,1,21.00,4
0x000000000000000000006191,1517373225.334,0,-30,0,1,21.00,3
0x000000000000000000006191,1517373225.389,0,-30,0,1,21.00,3
0x000000000000000000006191,1517373225.452,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373225.622,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373225.691,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373225.748,0,-30,0,1,21.00,3
0x000000000000000000006191,1517373225.815,0,-30,0,1,21.00,3
0x000000000000000000006191,1517373225.885,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373225.977,0,-30,0,1,21.00,3
0x000000000000000000006191,1517373226.030,0,-30,0,1,21.00,3
0x000000000000000000006191,1517373226.056,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373226.105,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373226.266,0,-30,0,1,21.00,4
0x000000000000000000006191,1517373226.315,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373226.539,0,-30,0,1,21.00,3
0x000000000000000000006191,1517373226.807,0,-29,0,1,21.00,4
0x000000000000000000006191,1517373227.034,0,-30,0,1,21.00,4
0x000000000000000000004005,1517373217.361,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373217.774,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373217.820,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373218.021,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373218.064,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373218.374,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373218.415,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373218.579,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373218.630,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373218.791,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373218.836,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373219.003,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373219.048,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373219.172,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373219.226,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373219.386,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373219.458,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373219.660,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373219.884,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373219.916,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373220.074,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373220.137,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373220.292,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373220.355,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373220.534,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373220.740,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373220.798,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373221.022,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373221.282,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373221.354,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373221.405,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373221.594,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373222.005,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373222.044,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373222.208,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373222.405,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373222.480,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373222.686,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373222.865,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373222.903,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373223.243,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373223.421,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373223.483,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373223.921,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373224.144,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373224.726,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373224.926,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373225.154,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373225.771,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373225.992,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373226.217,0,-30,0,1,21.00,3
0x110010349835865102614942,1517373217.371,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373217.541,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373217.580,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373217.789,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373218.233,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373218.288,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373219.604,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373219.650,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373219.872,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373219.940,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373220.150,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373220.367,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373220.583,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373220.788,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373220.950,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373221.012,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373222.184,0,-34,0,1,21.00,3
0x110010349835865102614942,1517373222.239,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373222.418,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373222.453,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373222.624,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373222.696,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373222.918,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373223.202,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373223.704,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373224.352,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373224.667,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373224.699,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373224.866,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373225.173,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373225.258,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373225.349,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373225.447,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373225.761,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373225.789,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373225.869,0,-34,0,1,21.00,4
0x110010349835865102614942,1517373225.968,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373226.011,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373226.730,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373226.773,0,-33,0,1,21.00,3
0x110010349835865102614942,1517373226.982,0,-33,0,1,21.00,3
0x108010149872360088493237,1517373217.463,0,-32,0,1,21.00,4
0x108010149872360088493237,1517373217.656,0,-32,0,1,21.00,4
0x108010149872360088493237,1517373217.689,0,-33,0,1,21.00,4
0x108010149872360088493237,1517373217.884,0,-33,0,1,21.00,4
0x108010149872360088493237,1517373217.945,0,-33,0,1,21.00,4
0x108010149872360088493237,1517373218.131,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373218.189,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373218.525,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373218.685,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373218.732,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373218.879,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373218.945,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373219.340,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373219.555,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373219.724,0,-33,0,1,21.00,4
0x108010149872360088493237,1517373219.773,0,-33,0,1,21.00,4
0x108010149872360088493237,1517373220.015,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373220.196,0,-34,0,1,21.00,4
0x108010149872360088493237,1517373220.237,0,-34,0,1,21.00,4
