MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:37:22 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517373429.757,0,-32,0,1,21.00,2
0x107010349013305354381890,1517373429.861,0,-31,0,1,21.00,2
0x107010349013305354381890,1517373429.919,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373429.943,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373430.193,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373430.238,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373430.583,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373430.790,0,-32,0,1,21.00,2
0x107010349013305354381890,1517373430.825,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373431.072,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373431.100,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373431.284,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373431.313,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373431.488,0,-31,0,1,21.00,2
0x107010349013305354381890,1517373431.546,0,-32,0,1,21.00,2
0x107010349013305354381890,1517373431.634,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373431.920,0,-31,0,1,21.00,2
0x107010349013305354381890,1517373431.968,0,-32,0,1,21.00,2
0x107010349013305354381890,1517373432.044,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373432.228,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373432.304,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373432.470,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373432.638,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373432.683,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373432.942,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373432.999,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373433.185,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373433.252,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373433.762,0,-33,0,1,21.00,2
0x107010349013305354381890,1517373434.027,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373434.070,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373434.305,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373434.350,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373434.565,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373435.324,0,-31,0,1,21.00,2
0x107010349013305354381890,1517373435.386,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373435.459,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373435.608,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373435.659,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373435.912,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373435.964,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373436.123,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373436.186,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373436.412,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373436.451,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373436.714,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373436.764,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373437.018,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373437.061,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373437.231,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373437.277,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373437.466,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373437.512,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373437.796,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373438.124,0,-32,0,1,21.00,2
0x107010349013305354381890,1517373438.240,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373438.623,0,-28,0,1,21.00,3
0x107010349013305354381890,1517373438.668,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373438.852,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373439.089,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373439.120,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373439.298,0,-29,0,1,21.00,3
0x107010349013305354381890,1517373439.331,0,-27,0,1,21.00,3
0x107010349013305354381890,1517373439.512,0,-29,0,1,21.00,3
