MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:50:55 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006091,1517374244.127,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374244.160,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374244.198,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374244.251,0,-22,0,1,21.00,3
0x000000000000000000006091,1517374244.288,0,-22,0,1,21.00,3
0x000000000000000000006091,1517374244.343,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374244.396,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374244.447,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374244.489,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374244.534,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374244.562,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374244.606,0,-23,0,1,21.00,3
0x000000000000000000006091,1517374244.651,0,-22,0,1,21.00,3
0x000000000000000000006091,1517374244.696,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374244.761,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374244.818,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374244.884,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374244.933,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374244.958,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374245.005,0,-23,0,1,21.00,3
0x000000000000000000006091,1517374245.059,0,-23,0,1,21.00,3
0x000000000000000000006091,1517374245.117,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374245.168,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374245.228,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374245.266,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374245.312,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374245.347,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374245.396,0,-23,0,1,21.00,3
0x000000000000000000006091,1517374245.440,0,-23,0,1,21.00,3
0x000000000000000000006091,1517374245.496,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374245.555,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374245.606,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374245.643,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374245.691,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374245.726,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374245.773,0,-22,0,1,21.00,3
0x000000000000000000006091,1517374245.823,0,-23,0,1,21.00,3
0x000000000000000000006091,1517374245.881,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374245.927,0,-15,0,1,21.00,4
0x000000000000000000006091,1517374245.981,0,-23,0,1,21.00,1
0x000000000000000000006091,1517374246.018,0,-23,0,1,21.00,1
