MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:54:05 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517374424.746,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374424.806,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374425.039,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374425.225,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374425.273,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374425.444,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374425.477,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374425.947,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374426.218,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374426.413,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374426.457,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374426.628,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374426.676,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374426.912,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374427.189,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374427.250,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374427.520,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374427.700,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374427.956,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374428.220,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374428.266,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374428.429,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374428.483,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374428.710,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374428.764,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374428.949,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374428.988,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374429.178,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374429.234,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374429.463,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374429.666,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374429.833,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374429.863,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374430.028,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374430.083,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374430.269,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374430.476,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374431.021,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374431.197,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374431.454,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374431.724,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374431.896,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374431.956,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374432.728,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374433.495,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374433.645,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374433.711,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374433.945,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374434.275,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374434.496,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374434.690,0,-32,0,1,21.00,3
0x110010349835865102614942,1517374424.758,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374424.789,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374425.020,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374425.068,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374425.713,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374425.773,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374426.203,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374426.254,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374426.422,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374426.619,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374426.666,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374426.897,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374427.231,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374427.489,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374427.532,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374427.710,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374428.252,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374428.439,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374428.775,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374429.000,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374429.438,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374429.612,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374430.527,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374430.695,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374430.724,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374430.979,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374431.527,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374431.739,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374432.153,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374432.677,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374432.708,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374432.957,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374433.007,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374433.180,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374433.506,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374433.918,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374434.202,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374434.247,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374434.424,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374434.471,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374434.672,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374434.865,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374434.908,0,-33,0,1,21.00,3
0x000000000000000000004005,1517374424.770,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374425.238,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374425.285,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374425.738,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374425.926,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374425.979,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374426.193,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374426.238,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374426.403,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374426.470,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374426.691,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374426.956,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374427.545,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374427.759,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374427.924,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374427.971,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374428.205,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374428.279,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374428.504,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374429.224,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374429.417,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374429.601,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374429.656,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374429.824,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374429.874,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374430.041,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374430.317,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374430.538,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374430.745,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374431.031,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374431.243,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374431.517,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374431.693,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374431.886,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374431.932,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374432.122,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374432.667,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374432.718,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374432.948,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374432.997,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374433.190,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374433.212,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374433.442,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374433.485,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374433.658,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374433.687,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374433.885,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374433.935,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374434.229,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374434.452,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374434.661,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374434.707,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374434.880,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374435.062,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374435.129,0,-29,0,1,21.00,3
0x108010249027506682943252,1517374424.842,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374427.874,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374430.395,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374430.566,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374430.622,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374430.786,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374431.113,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374431.270,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374431.615,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374431.776,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374431.814,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374432.213,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374434.550,0,-32,0,1,21.00,4
0x108010249027506682943252,1517374434.757,0,-32,0,1,21.00,4
0x108010149872360088493236,1517374424.852,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374424.899,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374425.129,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374425.181,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374425.379,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374425.529,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374425.597,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374426.347,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374426.515,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374426.549,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374426.731,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374426.780,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374428.009,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374428.086,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374428.367,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374428.600,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374428.644,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374429.062,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374429.263,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374429.343,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374429.545,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374429.717,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374429.750,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374429.931,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374429.974,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374430.136,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374430.416,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374430.842,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374431.082,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374431.289,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374432.005,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374432.194,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374432.259,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374432.399,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374432.756,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374433.124,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374433.337,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374433.585,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374433.985,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374434.022,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374434.538,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374434.599,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374434.998,0,-30,0,1,21.00,4
0x107010145263633097591868,1517374424.861,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374425.349,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374425.554,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374425.628,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374425.666,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374425.813,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374426.084,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374426.145,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374426.743,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374427.093,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374427.124,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374427.378,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374427.425,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374427.595,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374427.641,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374427.814,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374427.849,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374428.120,0,-32,0,1,21.00,1
0x107010145263633097591868,1517374428.155,0,-32,0,1,21.00,1
0x107010145263633097591868,1517374428.817,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374428.849,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374429.287,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374429.502,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374429.984,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374430.176,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374430.582,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374430.631,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374430.914,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374431.279,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374431.324,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374431.363,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374431.395,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374431.573,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374431.833,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374432.418,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374432.514,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374432.574,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374432.611,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374432.863,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374432.901,0,-33,0,1,21.00,1
0x107010145263633097591868,1517374433.994,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374434.100,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374434.131,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374434.307,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374434.378,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374434.797,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374434.953,0,-32,0,1,21.00,4
0x107010145263633097591868,1517374435.223,0,-32,0,1,21.00,4
0x107010349013305353841887,1517374424.887,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374425.337,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374425.587,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374425.822,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374425.882,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374426.070,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374426.293,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374426.336,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374426.527,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374427.009,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374427.606,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374427.804,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374427.862,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374428.023,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374428.075,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374428.332,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374428.610,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374429.534,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374429.940,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374430.145,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374430.195,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374430.852,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374431.123,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374431.314,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374431.753,0,-28,0,1,21.00,4
0x107010349013305353841887,1517374432.030,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374432.204,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374432.236,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374432.315,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374432.387,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374433.040,0,-29,0,1,21.00,4
0x107010349013305353841887,1517374433.323,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374433.771,0,-30,0,1,21.00,4
0x107010349013305353841887,1517374434.088,0,-30,0,1,21.00,4
