MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:54:20 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517374447.712,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374447.762,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374448.008,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374448.081,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374448.189,0,-34,0,1,21.00,4
0x107010349013305354381890,1517374448.237,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374448.282,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374448.499,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374448.526,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374448.740,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374448.766,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374449.026,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374449.219,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374449.266,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374449.547,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374449.581,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374449.782,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374449.832,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374450.025,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374450.070,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374450.239,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374450.290,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374450.651,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374450.930,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374450.983,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374451.187,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374451.474,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374451.550,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374451.811,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374451.891,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374452.094,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374452.268,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374452.308,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374452.526,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374452.543,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374452.813,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374452.853,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374453.044,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374453.123,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374453.352,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374453.439,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374453.706,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374453.906,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374453.991,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374454.270,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374454.288,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374454.507,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374454.521,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374454.940,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374454.985,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374455.278,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374455.540,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374455.623,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374455.901,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374456.054,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374456.091,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374456.294,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374456.342,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374456.680,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374456.917,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374457.155,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374457.206,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374457.407,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374457.456,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374457.722,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374457.782,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374457.952,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374458.006,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374458.195,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374458.242,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374458.509,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374458.543,0,-28,0,1,21.00,3
0x107010349013305354381891,1517374447.734,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374447.786,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374448.020,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374448.070,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374448.272,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374448.327,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374448.549,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374449.005,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374449.242,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374449.307,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374449.612,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374449.814,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374449.842,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374450.038,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374450.102,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374450.271,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374450.306,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374450.639,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374450.692,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374450.992,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374451.849,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374452.081,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374452.120,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374452.295,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374452.334,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374452.536,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374452.849,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374453.087,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374453.376,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374453.413,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374453.691,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374453.743,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374454.305,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374454.516,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374454.709,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374454.751,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374455.232,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374455.301,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374455.891,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374456.076,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374456.135,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374456.372,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374456.658,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374456.702,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374456.896,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374457.177,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374457.243,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374457.486,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374457.747,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374457.979,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374458.226,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374458.282,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374458.578,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374447.747,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374447.777,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374448.033,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374448.262,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374448.313,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374448.509,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374448.540,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374448.753,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374448.790,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374448.984,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374449.035,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374449.253,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374449.286,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374449.574,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374449.804,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374449.860,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374450.052,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374450.084,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374450.258,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374450.327,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374450.669,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374450.958,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374451.176,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374451.207,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374451.464,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374451.574,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374451.827,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374451.877,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374452.070,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374452.134,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374452.325,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374452.516,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374452.556,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374452.827,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374452.884,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374453.076,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374453.112,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374453.364,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374453.424,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374453.682,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374453.733,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374453.939,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374454.189,0,-33,0,1,21.00,2
0x110010349835865102614942,1517374454.281,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374454.492,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374454.539,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374454.718,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374454.760,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374454.976,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374455.243,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374455.291,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374455.562,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374455.602,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374455.856,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374456.109,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374456.318,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374456.382,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374456.604,0,-33,0,1,21.00,2
0x110010349835865102614942,1517374456.885,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374456.926,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374457.187,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374457.471,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374457.968,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374458.271,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374458.521,0,-33,0,1,21.00,3
0x000000000000000000004005,1517374447.803,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374448.053,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374448.295,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374448.520,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374448.763,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374448.975,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374449.050,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374449.296,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374449.562,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374449.602,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374449.779,0,-27,0,1,21.00,3
0x000000000000000000004005,1517374450.063,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374450.316,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374450.626,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374450.682,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374450.943,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374451.166,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374451.227,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374451.486,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374451.837,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374451.867,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374452.052,0,-27,0,1,21.00,3
0x000000000000000000004005,1517374452.109,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374452.272,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374452.574,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374452.839,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374452.873,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374453.046,0,-28,0,1,21.00,3
0x000000000000000000004005,1517374453.133,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374453.724,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374453.927,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374454.002,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374454.201,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374454.258,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374454.322,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374454.731,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374454.966,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374454.981,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374455.258,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374455.553,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374455.613,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374455.916,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374456.120,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374456.329,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374456.359,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374456.539,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374456.581,0,-31,0,1,21.00,2
0x000000000000000000004005,1517374456.668,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374456.717,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374456.872,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374456.943,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374457.223,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374457.439,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374457.737,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374457.769,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374458.020,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374458.211,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374458.259,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374458.507,0,-29,0,1,21.00,3
0x000000000000000000004005,1517374458.563,0,-29,0,1,21.00,3
0x108010149872360088493236,1517374447.816,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374447.906,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374448.113,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374448.149,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374448.340,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374448.414,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374448.585,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374448.643,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374448.817,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374448.877,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374449.070,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374449.132,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374449.322,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374449.387,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374449.638,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374449.704,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374449.893,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374449.952,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374450.122,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374450.169,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374450.351,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374450.408,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374450.475,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374450.527,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374450.712,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374450.767,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374451.029,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374451.071,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374451.254,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374451.307,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374451.596,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374451.660,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374451.912,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374451.960,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374452.148,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374452.199,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374452.374,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374452.430,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374452.603,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374452.653,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374452.913,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374452.964,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374453.155,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374453.205,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374453.451,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374453.509,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374453.759,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374453.816,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374454.023,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374454.078,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374454.340,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374454.399,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374454.574,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374454.620,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374454.798,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374454.850,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374455.017,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374455.073,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374455.318,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374455.463,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374455.635,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374455.688,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374455.936,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374455.979,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374456.149,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374456.204,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374456.398,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374456.450,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374456.743,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374456.790,0,-31,0,1,21.00,4
0x108010149872360088493236,1517374456.958,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374457.007,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374457.264,0,-30,0,1,21.00,4
0x108010149872360088493236,1517374457.327,0,-30,0,1,21.00,4
